msn,description,unit
HLTXP,Hydrocarbon gas liquids total end-use consumption,Thousand barrels
HLTXV,Hydrocarbon gas liquids total end-use expenditures,Million dollars
HPCAS,Hydroelectric pumped storage generating units usage factor,Percent
HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,Thousand kilowatts
HVCAS,Conventional hydroelectric generating units capacity factor,Percent
HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,Thousand kilowatts
HYCCB,Hydropower consumed by the commercial sector,Billion Btu
HYCCP,Hydroelectricity net generation in the commercial sector,Million kilowatthours
HYEGB,Hydropower consumed for electricity generation by the electric power sector,Billion Btu
HYEGP,Hydroelectricity net generation in the electric power sector,Million kilowatthours
HYICB,Hydropower consumed by the industrial sector,Billion Btu
HYICP,Hydroelectricity net generation in the industrial sector,Million kilowatthours
HYPRB,Hydropower production,Billion Btu
HYTCB,Hydropower total consumption,Billion Btu
HYTCP,Hydroelectricity total net generation,Million kilowatthours
HYTXB,Hydropower energy total end-use consumption,Billion Btu
HYTXP,"Hydroelectricity, total end-use net generation",Million kilowatthours
IQICB,Isobutane consumed by the industrial sector,Billion Btu
IQICP,Isobutane consumed by the industrial sector,Thousand barrels
IQTCB,Isobutane total consumption,Billion Btu
IQTCP,Isobutane total consumption,Thousand barrels
IYICB,Isobutylene from refineries consumed by the industrial sector,Billion Btu
IYICP,Isobutylene from refineries consumed by the industrial sector,Thousand barrels
IYTCB,Isobutylene from refineries total consumption,Billion Btu
IYTCP,Isobutylene from refineries total consumption,Thousand barrels
JFACB,Jet fuel consumed by the transportation sector,Billion Btu
JFACD,Jet fuel price in the transportation sector,Dollars per million Btu
JFACE,Jet fuel transportation sector CO2 emissions,Million metric tons CO2
JFACP,Jet fuel consumed by the transportation sector,Thousand barrels
JFACV,Jet fuel expenditures in the transportation sector,Million dollars
JFEIE,Jet fuel electric power sector CO2 emissions (through 1982),Million metric tons CO2
JFTCB,Jet fuel total consumption,Billion Btu
JFTCD,"Jet fuel average price, all sectors",Dollars per million Btu
JFTCE,Jet fuel total CO2 emissions,Million metric tons CO2
JFTCP,Jet fuel total consumption,Thousand barrels
JFTCV,Jet fuel total expenditures,Million dollars
JFTXB,Jet fuel total end-use consumption,Billion Btu
JFTXD,"Jet fuel average price, all end-use sectors",Dollars per million Btu
JFTXP,Jet fuel total end-use consumption,Thousand barrels
JFTXV,Jet fuel total end-use expenditures,Million dollars
KSCCB,Kerosene consumed by the commercial sector,Billion Btu
KSCCD,Kerosene price in the commercial sector,Dollars per million Btu
KSCCE,Kerosene commercial sector CO2 emissions,Million metric tons CO2
KSCCP,Kerosene consumed by the commercial sector,Thousand barrels
KSCCV,Kerosene expenditures in the commercial sector,Million dollars
KSICB,Kerosene consumed by the industrial sector,Billion Btu
KSICD,Kerosene price in the industrial sector,Dollars per million Btu
KSICE,Kerosene industrial sector CO2 emissions,Million metric tons CO2
KSICP,Kerosene consumed by the industrial sector,Thousand barrels
KSICV,Kerosene expenditures in the industrial sector,Million dollars
KSRCB,Kerosene consumed by the residential sector,Billion Btu
KSRCD,Kerosene price in the residential sector,Dollars per million Btu
KSRCE,Kerosene residential sector CO2 emissions,Million metric tons CO2
KSRCP,Kerosene consumed by the residential sector,Thousand barrels
KSRCV,Kerosene expenditures in the residential sector,Million dollars
KSTCB,Kerosene total consumption,Billion Btu
KSTCD,"Kerosene average price, all sectors",Dollars per million Btu
KSTCE,Kerosene total CO2 emissions,Million metric tons CO2
KSTCP,Kerosene total consumption,Thousand barrels
KSTCV,Kerosene total expenditures,Million dollars
KSTXB,Kerosene total end-use consumption,Billion Btu
KSTXD,"Kerosene average price, all end-use sectors",Dollars per million Btu
KSTXP,Kerosene total end-use consumption,Thousand barrels
KSTXV,Kerosene total end-use expenditures,Million dollars
LDVHN,Total (all fuels) vehicle light-duty stocks,Thousands of registered vehicles
LOACB,The transportation sector's share of electrical system energy losses,Billion Btu
LOCCB,The commercial sector's share of electrical system energy losses,Billion Btu
LOICB,The industrial sector's share of electrical system energy losses,Billion Btu
LORCB,The residential sector's share of electrical system energy losses,Billion Btu
LOTCB,Total electrical system energy losses,Billion Btu
LOTXB,Total electrical system energy losses allocated to the end-use sectors,Billion Btu
LUACB,Lubricants consumed by the transportation sector,Billion Btu
LUACD,Lubricants price in the transportation sector,Dollars per million Btu
LUACE,Lubricants transportation sector CO2 emissions,Million metric tons CO2
LUACP,Lubricants consumed by the transportation sector,Thousand barrels
LUACV,Lubricants expenditures in the transportation sector,Million dollars
LUICB,Lubricants consumed by the industrial sector,Billion Btu
LUICD,Lubricants price in the industrial sector,Dollars per million Btu
LUICE,Lubricants industrial sector CO2 emissions,Million metric tons CO2
LUICP,Lubricants consumed by the industrial sector,Thousand barrels
LUICV,Lubricants expenditures in the industrial sector,Million dollars
LUTCB,Lubricants total consumption,Billion Btu
LUTCD,"Lubricants average price, all sectors",Dollars per million Btu
LUTCE,Lubricants total CO2 emissions,Million metric tons CO2
LUTCP,Lubricants total consumption,Thousand barrels
LUTCV,Lubricants total expenditures,Million dollars
LUTXB,Lubricants total end-use consumption,Billion Btu
LUTXD,"Lubricants average price, all end-use sectors",Dollars per million Btu
LUTXP,Lubricants total end-use consumption,Thousand barrels
LUTXV,Lubricants total end-use expenditures,Million dollars
MBICB,Motor gasoline blending components consumed by the industrial sector,Billion Btu
MBICP,Motor gasoline blending components consumed by the industrial sector,Thousand barrels
MBTCK,Factor for converting motor gasoline blending components from physical units to Btu,Million Btu per barrel
MGACB,Motor gasoline consumed by the transportation sector,Billion Btu
MGACD,Motor gasoline price in the transportation sector,Dollars per million Btu
MGACP,Motor gasoline consumed by the transportation sector,Thousand barrels
MGACV,Motor gasoline expenditures in the transportation sector,Million dollars
MGCCB,Motor gasoline consumed by the commercial sector,Billion Btu
MGCCD,Motor gasoline price in the commercial sector,Dollars per million Btu
MGCCP,Motor gasoline consumed by the commercial sector,Thousand barrels
MGCCV,Motor gasoline expenditures in the commercial sector,Million dollars
MGICB,Motor gasoline consumed by the industrial sector,Billion Btu
MGICD,Motor gasoline price in the industrial sector,Dollars per million Btu
MGICP,Motor gasoline consumed by the industrial sector,Thousand barrels
MGICV,Motor gasoline expenditures in the industrial sector,Million dollars
MGTCB,Motor gasoline total consumption,Billion Btu
MGTCD,"Motor gasoline average price, all sectors",Dollars per million Btu
MGTCK,Factor for converting motor gasoline from physical units to Btu,Million Btu per barrel
MGTCP,Motor gasoline total consumption,Thousand barrels
MGTCV,Motor gasoline total expenditures,Million dollars
MGTPV,Motor gasoline expenditures per capita,Dollars
MGTXB,Motor gasoline total end-use consumption,Billion Btu
MGTXD,"Motor gasoline average price, all end-use sectors",Dollars per million Btu
MGTXP,Motor gasoline total end-use consumption,Thousand barrels
MGTXV,Motor gasoline total end-use expenditures,Million dollars
MMACB,"Motor gasoline, excluding fuel ethanol, consumed by the transportation sector",Billion Btu
MMACE,"Motor gasoline, excluding ethanol, transportation sector CO2 emissions",Million metric tons CO2
MMCCB,"Motor gasoline, excluding fuel ethanol, consumed by the commercial sector",Billion Btu
MMCCE,"Motor gasoline, excluding ethanol, commercial sector CO2 emissions",Million metric tons CO2
MMICB,"Motor gasoline, excluding fuel ethanol, consumed by the industrial sector",Billion Btu
MMICE,"Motor gasoline, excluding ethanol, industrial sector CO2 emissions",Million metric tons CO2
MMTCB,"Motor gasoline, excluding fuel ethanol, total consumption",Billion Btu
MMTCE,"Motor gasoline, excluding ethanol, total CO2 emissions",Million metric tons CO2
MSICB,Miscellaneous petroleum products consumed by the industrial sector,Billion Btu
MSICD,Miscellaneous petroleum products price in the industrial sector,Dollars per million Btu
MSICP,Miscellaneous petroleum products consumed by the industrial sector,Thousand barrels
MSICV,Miscellaneous petroleum products expenditures in the industrial sector,Million dollars
NAICB,Natural gasoline consumed by the industrial sector (through 1983),Billion Btu
NAICP,Natural gasoline consumed by the industrial sector (through 1983),Thousand barrels
NCPRB,Noncombustible renewable energy production,Billion Btu
NGACB,Natural gas consumed by the transportation sector,Billion Btu
NGACD,Natural gas price in the transportation sector,Dollars per million Btu
NGACP,Natural gas consumed by the transportation sector,Million cubic feet
NGACV,Natural gas expenditures in the transportation sector,Million dollars
NGASB,Natural gas consumed by the transportation sector adjusted for process fuel,Billion Btu
NGCCB,"Natural gas delivered to the commercial sector, used as consumption (including supplemental gaseous fuels)",Billion Btu
NGCCD,Natural gas price in the commercial sector (including supplemental gaseous fuels),Dollars per million Btu
NGCCP,"Natural gas delivered to the commercial sector, used as consumption (including supplemental gaseous fuels)",Million cubic feet
NGCCV,Natural gas expenditures in the commercial sector (including supplemental gaseous fuels),Million dollars
NGEIB,Natural gas consumed by the electric power sector (including supplemental gaseous fuels),Billion Btu
NGEID,Natural gas price in the electric power sector (including supplemental gaseous fuels),Dollars per million Btu
NGEIK,Factor for converting natural gas consumed by the electric power sector from physical units to Btu,Thousand Btu per cubic foot
NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels),Million cubic feet
NGEIV,Natural gas expenditures in the electric power sector (including supplemental gaseous fuels),Million dollars
NGGBP,Natural gas generating units net summer capacity in all sectors,Thousand kilowatts
NGICB,Natural gas consumed by the industrial sector (including supplemental gaseous fuels),Billion Btu
NGICD,Natural gas price in the industrial sector (including supplemental gaseous fuels),Dollars per million Btu
NGICP,Natural gas consumed by the industrial sector (including supplemental gaseous fuels),Million cubic feet
NGICV,Natural gas expenditures in the industrial sector (including supplemental gaseous fuels),Million dollars
NGISB,Natural gas consumed by the industrial sector excluding refinery fuel,Billion Btu
NGLPB,Natural gas consumed as lease and plant fuel,Billion Btu
NGMPB,Natural gas marketed production,Billion Btu
NGMPK,Factor for converting marketed natural gas production from physical units to Btu,Thousand Btu per cubic feet
NGMPP,Natural gas marketed production,Million cubic feet
NGPZB,Natural gas for pipeline and distribution use,Billion Btu
NGRCB,"Natural gas delivered to the residential sector, used as consumption (including supplemental gaseous fuels)",Billion Btu
NGRCD,Natural gas price in the residential sector (including supplemental gaseous fuels),Dollars per million Btu
NGRCP,"Natural gas delivered to the residential sector, used as consumption (including supplemental gaseous fuels)",Million cubic feet
NGRCV,Natural gas expenditures in the residential sector (including supplemental gaseous fuels),Million dollars
NGRFB,Natural gas consumed as refinery fuel,Billion Btu
NGSCB,Natural gas total consumption adjusted for process fuel,Billion Btu
NGTCB,Natural gas total consumption (including supplemental gaseous fuels),Billion Btu
NGTCD,"Natural gas average price, all sectors (including supplemental gaseous fuels)",Dollars per million Btu
NGTCK,Factor for converting natural gas total consumption from physical units to Btu,Thousand Btu per cubic foot
NGTCP,Natural gas total consumption (including supplemental gaseous fuels),Million cubic feet
NGTCV,Natural gas total expenditures (including supplemental gaseous fuels),Million dollars
NGTPB,Natural gas total consumption (including supplemental gaseous fuels) per capita,Million Btu
NGTPP,Natural gas total consumption (including supplemental gaseous fuels) per capita,Thousand cubic feet
NGTXB,Natural gas total end-use consumption (including supplemental gaseous fuels),Billion Btu
NGTXD,"Natural gas average price, all end-use sectors (including supplemental gaseous fuels)",Dollars per million Btu
NGTXK,Factor for converting natural gas used by end-use sectors from physical units to Btu,Thousand Btu per cubic foot
NGTXP,Natural gas total end-use consumption (including supplemental gaseous fuels),Million cubic feet
NGTXV,Natural gas total end-use expenditures (including supplemental gaseous fuels),Million dollars
NNACE,"Natural gas, excluding supplemental gaseous fuels, CO2 emissions for the transportation sector",Million metric tons CO2
NNCCE,"Natural gas, excluding supplemental gaseous fuels, CO2 emissions for the commercial sector",Million metric tons CO2
NNEIE,"Natural gas, excluding supplemental gaseous fuels, CO2 emissions for the electric power sector",Million metric tons CO2
NNICE,"Natural gas, excluding supplemental gaseous fuels, CO2 emissions for the industrial sector",Million metric tons CO2
NNRCE,"Natural gas, excluding supplemental gaseous fuels, CO2 emissions for the residential sector",Million metric tons CO2
NNTCB,Natural gas total consumption (excluding supplemental gaseous fuels),Billion Btu
NNTCE,"Natural gas, excluding supplemental gaseous fuels, CO2 emissions for all sectors",Million metric tons CO2
NTCAS,Natural gas turbine generating units capacity factor,Percent
NUCAS,Nuclear generating units capacity factor,Percent
NUEGB,Nuclear energy consumed for electricity generation by the electric power sector,Billion Btu
NUEGD,Nuclear fuel price in the electric power sector,Dollars per million Btu
NUEGP,Nuclear electricity net generation in the electric power sector,Million kilowatthours
NUEGV,Nuclear fuel expenditures in the electric power sector,Million dollars
NUETB,"Nuclear energy consumed for electricity generation, total",Billion Btu
NUETD,"Nuclear fuel average price, all sectors",Dollars per million Btu
NUETK,Factor for converting electricity generated from nuclear power from physical units to Btu,Thousand Btu per kilowatthour
NUETP,Nuclear electricity total net generation,Million kilowatthours
NUETV,Nuclear fuel total expenditures,Million dollars
NUGBP,Nuclear generating units net summer capacity in all sectors,Thousand kilowatts
NUPRB,Nuclear energy electricity production,Billion Btu
NUPRP,Nuclear energy electricity production,Million Kilowatthours
NYCAS,Natural gas conventional steam generating units capacity factor,Percent
OHICB,Other hydrocarbon gas liquids (other than propane) consumed by the industrial sector,Billion Btu
OHICD,Other hydrocarbon gas liquids (other than propane) price in the industrial sector,Dollars per million Btu
OHICV,Other hydrocarbon gas liquids (other than propane) expenditures in the industrial sector,Million dollars
OJGBP,Other gases generating units net summer capacity in all sectors,Thousand kilowatts
OMICE,"Other petroleum products, excluding biofuels, industrial sector CO2 emissions",Million metric tons CO2
OMTCB,"Other petroleum products consumption, excluding biofuels",Billion Btu
OMTCE,"Other petroleum products, excluding biofuels, total CO2 emissions",Million metric tons CO2
OPACB,Other petroleum products consumed by the transportation sector,Billion Btu
OPACP,Other petroleum products consumed by the transportation sector,Thousand barrels
OPCCB,Other petroleum products consumed by the commercial sector,Billion Btu
OPCCP,Other petroleum products consumed by the commercial sector,Thousand barrels
OPEIB,Other petroleum products consumed by the electric power sector,Billion Btu
OPEIP,Other petroleum products consumed by the electric power sector,Thousand barrels
OPICB,Other petroleum products consumed by the industrial sector,Billion Btu
OPICD,Other petroleum products average price in the industrial sector,Dollars per million Btu
OPICP,Other petroleum products consumed by the industrial sector,Thousand barrels
OPICV,Other petroleum products total expenditures in the industrial sector,Million dollars
OPISB,Other petroleum products consumed by the industrial sector excluding refinery fuel and intermediate products,Billion Btu
OPRCB,Other petroleum products consumed by the residential sector,Billion Btu
OPRCP,Other petroleum products consumed by the residential sector,Thousand barrels
OPSCB,Other petroleum products total consumption adjusted for refinery fuel and intermediate products,Billion Btu
OPTCB,Other petroleum products total consumption,Billion Btu
OPTCD,"Other petroleum products average price, all sectors",Dollars per million Btu
OPTCP,Other petroleum products total consumption,Thousand barrels
OPTCV,Other petroleum products total expenditures,Million dollars
OPTXB,Other petroleum products total end-use consumption,Billion Btu
OPTXD,"Other petroleum products average price, all end-use sectors",Dollars per million Btu
OPTXP,Other petroleum products total end-use consumption,Thousand barrels
OPTXV,Other petroleum products total end-use expenditures,Million dollars
OTGBP,Other generating units net summer capacity in all sectors,Thousand kilowatts
P1ICB,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",Billion Btu
P1ICD,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price in the  industrial sector",Dollars per million Btu
P1ICP,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",Thousand barrels
P1ICV,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" expenditures in the  industrial sector",Million dollars
P1ISB,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products",Billion Btu
P1SCB,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption adjusted for process fuel and intermediate products",Billion Btu
P1TCB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",Billion Btu
P1TCD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all sectors",Dollars per million Btu
P1TCP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",Thousand barrels
P1TCV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total expenditures",Million dollars
P1TXB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",Billion Btu
P1TXD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all end-use sectors",Dollars per million Btu
P1TXP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",Thousand barrels
P1TXV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use expenditures",Million dollars
P5RFB,Other petroleum products consumed as refinery fuel and intermediate products,Billion Btu
PAACB,All petroleum products consumed by the transportation sector,Billion Btu
PAACD,All petroleum products average price in the transportation sector,Dollars per million Btu
PAACK,Factor for converting all petroleum products consumed by the transportation sector from physical units to Btu for the United States,Million Btu per barrel
PAACP,All petroleum products consumed by the transportation sector,Thousand barrels
PAACV,All petroleum products total expenditures in the transportation sector,Million dollars
PAASB,All petroleum products consumed by the transportation sector excluding other biofuels product supplied for the United States,Billion Btu
PACAS,Petroleum generating units capacity factor,Percent
PACCB,All petroleum products consumed by the commercial sector,Billion Btu
PACCD,All petroleum products average price in the commercial sector,Dollars per million Btu
PACCK,Factor for converting all petroleum products consumed by the commercial sector from physical units to Btu for the United States,Million Btu per barrel
PACCP,All petroleum products consumed by the commercial sector,Thousand barrels
PACCV,All petroleum products total expenditures in the commercial sector,Million dollars
PAEIB,All petroleum products consumed by the electric power sector,Billion Btu
PAEID,All petroleum products average price in the electric power sector,Dollars per million Btu
PAEIK,Factor for converting all petroleum products consumed by the electric power sector from physical units to Btu for the United States,Million Btu per barrel
PAEIP,All petroleum products consumed by the electric power sector,Thousand barrels
PAEIV,All petroleum products total expenditures in the electric power sector,Million dollars
PAGBP,Petroleum generating units net summer capacity in all sectors,Thousand kilowatts
PAICB,All petroleum products consumed by the industrial sector,Billion Btu
PAICD,All petroleum products average price in the industrial sector,Dollars per million Btu
PAICK,Factor for converting all petroleum products consumed by the industrial sector from physical units to Btu for the United States,Million Btu per barrel
PAICP,All petroleum products consumed by the industrial sector,Thousand barrels
PAICV,All petroleum products total expenditures in the industrial sector,Million dollars
PAISB,All petroleum products consumed by the industrial sector excluding process fuel and intermediate products,Billion Btu
PAPRB,Crude oil production (including lease condensate),Billion Btu
PAPRP,Crude oil production (including lease condensate),Thousand barrels
PARCB,All petroleum products consumed by the residential sector,Billion Btu
PARCD,All petroleum products average price in the residential sector,Dollars per million Btu
PARCK,Factor for converting all petroleum products consumed by the residential sector from physical units to Btu for the United States,Million Btu per barrel
PARCP,All petroleum products consumed by the residential sector,Thousand barrels
PARCV,All petroleum products total expenditures in the residential sector,Million dollars
PASCB,All petroleum products total consumption adjusted for process fuel and intermediate products,Billion Btu
PATCB,All petroleum products total consumption,Billion Btu
PATCD,"All petroleum products average price, all sectors",Dollars per million Btu
PATCK,Factor for converting all petroleum products consumed by all sectors from physical units to Btu for the United States,Million Btu per barrel
PATCP,All petroleum products total consumption,Thousand barrels
PATCV,All petroleum products total expenditures,Million dollars
PATPB,All petroleum products total consumption per capita,Million Btu
PATPP,All petroleum products total consumption per capita,barrels
PATXB,All petroleum products total end-use consumption,Billion Btu
PATXD,"All petroleum products average price, all end-use sectors",Dollars per million Btu
PATXP,All petroleum products total end-use consumption,Thousand barrels
PATXV,All petroleum products total end-use expenditures,Million dollars
PCCCB,Petroleum coke consumed by the commercial sector,Billion Btu
PCCCD,Petroleum coke price in the commercial sector,Dollars per million Btu
PCCCE,Petroleum coke commercial sector CO2 emissions,Million metric tons CO2
PCCCP,Petroleum coke consumed by the commercial sector,Thousand barrels
PCCCV,Petroleum coke expenditures in the commercial sector,Million dollars
PCCTK,"Factor for converting petroleum coke, catalyst coke from physical units to Btu",Million Btu per barrel
PCEIB,Petroleum coke consumed by the electric power sector,Billion Btu
PCEID,Petroleum coke price in the electric power sector,Dollars per million Btu
PCEIE,Petroleum coke electric power sector CO2 emissions,Million metric tons CO2
PCEIP,Petroleum coke consumed by the electric power sector,Thousand barrels
PCEIV,Petroleum coke expenditures in the electric power sector,Million dollars
PCICB,Petroleum coke consumed in the industrial sector,Billion Btu
PCICD,Petroleum coke price in the industrial sector,Dollars per million Btu
PCICE,Petroleum coke industrial sector CO2 emissions,Million metric tons CO2
PCICP,Petroleum coke consumed in the industrial sector,Thousand barrels
PCICV,Petroleum coke expenditures in the industrial sector,Million dollars
PCISB,Petroleum coke consumed by the industrial sector excluding refinery fuel,Billion Btu
PCMKK,"Factor for converting petroleum coke, marketable coke from physical units to Btu",Million Btu per barrel
PCRFB,Petroleum coke consumed as refinery fuel,Billion Btu
PCSCB,Petroleum coke total consumption adjusted for process fuel,Billion Btu
PCTCB,Petroleum coke total consumption,Billion Btu
PCTCD,"Petroleum coke average price, all sectors",Dollars per million Btu
PCTCE,Petroleum coke total CO2 emissions,Million metric tons CO2
PCTCP,Petroleum coke total consumption,Thousand barrels
PCTCV,Petroleum coke total expenditures,Million dollars
PCTXB,Petroleum coke total end-use consumption,Billion Btu
PCTXD,"Petroleum coke average price, all end-use sectors",Dollars per million Btu
PCTXP,Petroleum coke total end-use consumption,Thousand barrels
PCTXV,Petroleum coke total end-use expenditures,Million dollars
PEACD,Primary energy average price in the transportation sector,Dollars per million Btu
PEACV,Primary energy total expenditures in the transportation sector,Million dollars
PEASB,"Primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PECCD,Primary energy average price in the commercial sector,Dollars per million Btu
PECCV,Primary energy total expenditures in the commercial sector,Million dollars
PECSB,"Primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PEEID,Primary energy average price in the electric power sector,Dollars per million Btu
PEEIV,Primary energy total expenditures in the electric power sector,Million dollars
PEICD,Primary energy average price in the industrial sector,Dollars per million Btu
PEICV,Primary energy total expenditures in the industrial sector,Million dollars
PEISB,"Primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PERCD,Primary energy average price in the residential sector,Dollars per million Btu
PERCV,Primary energy total expenditures in the residential sector,Million dollars
PERSB,"Primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PESCB,"Primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PETCD,"Primary energy average price, all sectors",Dollars per million Btu
PETCV,Primary energy total expenditures,Million dollars
PETXD,"Primary energy average price, all end-use sectors",Dollars per million Btu
PETXV,Primary energy total end-use expenditures,Million dollars
PHVHN,Plug-in hybrid electric vehicle (PHEV) light-duty stocks,Thousands of registered vehicles
PHVHP,Electricity consumed for plug-in hybrid electric vehicle (PHEV) use,Million kilowatthours
PLICB,Plant condensate consumed by the industrial sector (through 1983),Billion Btu
PLICP,Plant condensate consumed by the industrial sector (through 1983),Thousand barrels
PMACB,"All petroleum products, excluding biofuels, consumed by the transportation sector",Billion Btu
PMACE,"Total petroleum, excluding biofuels, CO2 emissions for the transportation sector",Million metric tons CO2
PMCCB,"All petroleum products, excluding biofuels, consumed by the commercial sector",Billion Btu
PMCCE,"Total petroleum, excluding biofuels, CO2 emissions for the commercial sector",Million metric tons CO2
PMEIB,"All petroleum products, excluding biofuels, consumed by the electric power sector",Billion Btu
PMEIE,"Total petroleum, excluding biofuels, CO2 emissions for the electric power sector",Million metric tons CO2
PMICB,"All petroleum products, excluding biofuels, consumed by the industrial sector",Billion Btu
PMICE,"Total petroleum, excluding biofuels, CO2 emissions for the industrial sector",Million metric tons CO2
PMRCB,"All petroleum products, excluding biofuels, consumed by the residential sector",Billion Btu
PMRCE,"Total petroleum, excluding biofuels, CO2 emissions for the residential sector",Million metric tons CO2
PMTCB,"All petroleum products, excluding biofuels, total consumption",Billion Btu
PMTCE,"Total petroleum, excluding biofuels, CO2 emissions for all sectors",Million metric tons CO2
PPICB,Natural gasoline (pentanes plus) consumed by the industrial sector,Billion Btu
PPICP,Natural gasoline (pentanes plus) consumed by the industrial sector,Thousand barrels
PPTCB,Natural gasoline (pentanes plus) total consumption,Billion Btu
PPTCP,Natural gasoline (pentanes plus) total consumption,Thousand barrels
PQACB,Propane consumed by the transportation sector,Billion Btu
PQACD,Propane price in the transportation sector,Dollars per million Btu
PQACP,Propane consumed by the transportation sector,Thousand barrels
PQACV,Propane expenditures in the transportation sector,Million dollars
PQCCB,Propane consumed by the commercial sector,Billion Btu
PQCCD,Propane price in the commercial sector,Dollars per million Btu
PQCCP,Propane consumed by the commercial sector,Thousand barrels
PQCCV,Propane expenditures in the commercial sector,Million dollars
PQICB,Propane consumed by the industrial sector,Billion Btu
PQICD,Propane price in the industrial sector,Dollars per million Btu
PQICP,Propane consumed by the industrial sector,Thousand barrels
PQICV,Propane expenditures in the industrial sector,Million dollars
PQISB,Propane consumed in the industrial sector excluding refinery fuel,Billion Btu
PQRCB,Propane consumed by the residential sector,Billion Btu
PQRCD,Propane price in the residential sector,Dollars per million Btu
PQRCP,Propane consumed by the residential sector,Thousand barrels
PQRCV,Propane expenditures in the residential sector,Million dollars
PQRFB,Propane consumed as refinery fuel,Billion Btu
PQSCB,Propane total consumption adjusted for process fuel,Billion Btu
PQTCB,Propane total consumption,Billion Btu
PQTCD,"Propane average price, all sectors",Dollars per million Btu
PQTCP,Propane total consumption,Thousand barrels
PQTCV,Propane total expenditures,Million dollars
PQTXB,Propane total end-use consumption,Billion Btu
PQTXD,"Propane average price, all end-use sectors",Dollars per million Btu
PQTXP,Propane total end-use consumption,Thousand barrels
PQTXV,Propane total end-use expenditures,Million dollars
PYICB,Propylene from refineries consumed by the industrial sector,Billion Btu
PYICP,Propylene from refineries consumed by the industrial sector,Thousand barrels
PYTCB,Propylene from refineries total consumption,Billion Btu
PYTCP,Propylene from refineries total consumption,Thousand barrels
REACB,Renewable energy sources consumed by the transportation sector,Billion Btu
RECCB,Renewable energy sources consumed by the commercial sector,Billion Btu
REEIB,Renewable energy sources consumed by the electric power sector,Billion Btu
REGBP,Renewable energy total generating units net summer capacity in all sectors,Thousand kilowatts
REICB,Renewable energy sources consumed by the industrial sector,Billion Btu
REPRB,Renewable energy production,Billion Btu
RERCB,Renewable energy sources consumed by the residential sector,Billion Btu
RETCB,Renewable energy total consumption,Billion Btu
RETES,Total renewable energy consumption share of total primary energy consumption,Percent
RFACB,Residual fuel oil consumed by the transportation sector,Billion Btu
RFACD,Residual fuel oil price in the transportation sector,Dollars per million Btu
RFACE,Residual fuel oil transportation sector CO2 emissions,Million metric tons CO2
RFACP,Residual fuel oil consumed by the transportation sector,Thousand barrels
RFACV,Residual fuel oil expenditures in the transportation sector,Million dollars
RFCCB,Residual fuel oil consumed by the commercial sector,Billion Btu
RFCCD,Residual fuel oil price in the commercial sector,Dollars per million Btu
RFCCE,Residual fuel oil commercial sector CO2 emissions,Million metric tons CO2
RFCCP,Residual fuel oil consumed by the commercial sector,Thousand barrels
RFCCV,Residual fuel oil expenditures in the commercial sector,Million dollars
RFEIB,Residual fuel oil consumed by the electric power sector,Billion Btu
RFEID,Residual fuel oil price in the electric power sector,Dollars per million Btu
RFEIE,Residual fuel oil electric power sector CO2 emissions,Million metric tons CO2
RFEIP,Residual fuel oil consumed by the electric power sector,Thousand barrels
RFEIV,Residual fuel oil expenditures in the electric power sector,Million dollars
RFICB,Residual fuel oil consumed by the industrial sector,Billion Btu
RFICD,Residual fuel oil price in the industrial sector,Dollars per million Btu
