name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_pt,description_en,description_es
noninterest_exp_per_average_assets,FLOAT64,Noninterest Exp/Average Assets,,no,,percent,no,,NONIXAY,Despesa não decorrente de juros sobre ativos médios,Noninterest Exp/Average Assets,Gasto no derivado de intereses sobre activos promedio
real_estate_principal_securitised_asset_sold_szlnoth,FLOAT64,Real Estate Principal Securitised Asset Sold - Oth,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SZLNOTH,Principal dos demais ativos securitizados e vendidos,Real Estate Principal Securitised Asset Sold - Oth,Principal de los demás activos securitizados y vendidos
fed_funds_and_repos_sold,FLOAT64,Fed Funds & Repos Sold,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",FREPO,Fed funds vendidos e operações compromissadas,Fed Funds & Repos Sold,Fed funds vendidos y operaciones de reporto
cash_and_due_from_depository_inst,FLOAT64,Cash & Due From Depository Inst,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CHBAL,Caixa e disponibilidades em instituições depositárias,Cash & Due From Depository Inst,Efectivo y disponibilidades en instituciones depositarias
carry_amt_loss_share_oth_asset,FLOAT64,Carry Amt Loss Share -Oth Asset,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LSAOA,Valor contábil dos demais ativos sob acordo de perda compartilhada,Carry Amt Loss Share -Oth Asset,Valor contable de los demás activos bajo acuerdo de pérdida compartida
number_of_domestic_offices,FLOAT64,The number of domestic offices (including headquarters) operated by active institutions in the 50 states of the U.S.A.,,no,,unit,no,,OFFDOM,Número de agências domésticas (incluindo a sede) operadas por instituições ativas nos 50 estados dos Estados Unidos,The number of domestic offices (including headquarters) operated by active institutions in the 50 states of the U.S.A.,Número de oficinas domésticas (incluyendo la sede) operadas por instituciones activas en los 50 estados de los Estados Unidos
sold_w_per_recourse_n_per_secur_res,FLOAT64,Sold W/Recourse N/Secur.- Res,,no,,percent,no,,ASDRRES,Ativos residenciais vendidos com coobrigação e não securitizados,Sold W/Recourse N/Secur.- Res,Activos residenciales vendidos con recurso y no securitizados
n_per_c_real_estate_lns_per_real_estate_ratio,FLOAT64,N/C Real Estate Lns/Real Estate,,no,,percent,no,,NCRER,Empréstimos imobiliários inadimplentes sobre o total da carteira imobiliária,N/C Real Estate Lns/Real Estate,Préstamos inmobiliarios en incumplimiento sobre el total de la cartera inmobiliaria
all_oth_assets_ratio,FLOAT64,All Oth Assets Ratio,,no,,percent,no,,AOAR,Demais ativos como proporção dos ativos totais,All Oth Assets Ratio,Demás activos como proporción de los activos totales
other_real_estate_owned,FLOAT64,Other Real Estate Owned,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ORE,Imóveis retomados e demais bens imóveis próprios,Other Real Estate Owned,Inmuebles adjudicados y demás bienes inmuebles propios
const_real_estate_chargeoff_per_const_real_ratio,FLOAT64,Const Real Estate Charge-Off/Const Real Estate Loans,,no,,percent,no,,NTRECOSR,Baixas por perda sobre empréstimos imobiliários para construção,Const Real Estate Charge-Off/Const Real Estate Loans,Castigos por pérdida sobre préstamos inmobiliarios para construcción
n_per_c_1_4_family_real_estate_per_1_4_ratio,FLOAT64,N/C 1-4 Family Real Estate/1-4 Family Real Estate,,no,,percent,no,,NCRERESR,Empréstimos imobiliários residenciais de 1 a 4 unidades inadimplentes sobre o total dessa carteira,N/C 1-4 Family Real Estate/1-4 Family Real Estate,Préstamos inmobiliarios residenciales de 1 a 4 unidades en incumplimiento sobre el total de esa cartera
interest_bearing_deposits_dom,FLOAT64,Interest-Bearing Deposits-Dom,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPIDOM,Depósitos remunerados em agências domésticas,Interest-Bearing Deposits-Dom,Depósitos remunerados en oficinas domésticas
commercial_and_industrial_loans_ratio_idntcir,FLOAT64,Commercial & Industrial Loans,,no,,percent,no,,IDNTCIR,Empréstimos comerciais e industriais,Commercial & Industrial Loans,Préstamos comerciales e industriales
interest_expense_to_earning_assets_ratio,FLOAT64,Interest Expense to Earning Assets Ratio,,no,,percent,no,,INTEXPY,Despesa de juros sobre ativos rentáveis,Interest Expense to Earning Assets Ratio,Gasto por intereses sobre activos rentables
leverage_ratio_pca,FLOAT64,Leverage Ratio-PCA,,no,,percent,no,,RBC1AAJ,"Índice de alavancagem, definição PCA",Leverage Ratio-PCA,"Índice de apalancamiento, definición PCA"
n_1_4_fam_real_estate_chargeoff_per_1_4_fam_ratio,FLOAT64,1-4 Fam Real Estate Charge-Off/1-4 Fam Loans,,no,,percent,no,,NTRERESR,Baixas por perda sobre empréstimos imobiliários residenciais de 1 a 4 unidades,1-4 Fam Real Estate Charge-Off/1-4 Fam Loans,Castigos por pérdida sobre préstamos inmobiliarios residenciales de 1 a 4 unidades
assets_per_employee_in_million,FLOAT64,Assets Per Employee in Million,,no,,unit,no,,ASTEMPM,"Ativos por funcionário, em milhões de dólares",Assets Per Employee in Million,"Activos por empleado, en millones de dólares"
all_oth_assets,FLOAT64,All Oth Assets,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",AOA,Demais ativos,All Oth Assets,Demás activos
pretax_return_on_assets,FLOAT64,"Annualized pre-tax net income as a percent of average assets. Note: Includes extraordinary items and other adjustments, net of taxes.",,no,,percent,no,,ROAPTX,"Lucro líquido antes de impostos anualizado como percentual dos ativos médios. Nota: inclui itens extraordinários e outros ajustes, líquidos de impostos","Annualized pre-tax net income as a percent of average assets. Note: Includes extraordinary items and other adjustments, net of taxes.","Utilidad neta antes de impuestos anualizada como porcentaje de los activos promedio. Nota: incluye partidas extraordinarias y otros ajustes, netos de impuestos"
pre_tax_net_income_operating_income,FLOAT64,Pre-Tax Net Income Operating Income,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",PTAXNETINC,Resultado operacional antes de impostos,Pre-Tax Net Income Operating Income,Resultado operativo antes de impuestos
tot_domestic_deposit_per_asset_ratio,FLOAT64,Tot Domestic Deposit / Asset,,no,,percent,no,,DEPDASTR,Depósitos domésticos sobre ativos totais,Tot Domestic Deposit / Asset,Depósitos domésticos sobre activos totales
nc_commercial_real_estate_per_commercial_ratio,FLOAT64,Nc Commercial Real Estate/Commercial Real Estate,,no,,percent,no,,NCCOMRER,Empréstimos imobiliários comerciais inadimplentes sobre o total dessa carteira,Nc Commercial Real Estate/Commercial Real Estate,Préstamos inmobiliarios comerciales en incumplimiento sobre el total de esa cartera
total_deposit_liab_bef_exclusion,FLOAT64,Total Deposit Liab Bef Exclusion,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPBEFEX,Passivos de depósito antes das exclusões,Total Deposit Liab Bef Exclusion,Pasivos por depósitos antes de las exclusiones
noninterest_inc_per_average_assets,FLOAT64,Noninterest Inc/Average Assets,,no,,percent,no,,NONIIAY,Receita não decorrente de juros sobre ativos médios,Noninterest Inc/Average Assets,Ingreso no derivado de intereses sobre activos promedio
loans_to_individuals_ratio_idntconr,FLOAT64,Loans to Individuals,,no,,percent,no,,IDNTCONR,Empréstimos a pessoas físicas,Loans to Individuals,Préstamos a personas físicas
credit_loss_prov_per_ave_assets,FLOAT64,Credit Loss Prov/Ave Assets,,no,,percent,no,,ELNATRY,Provisão para perdas de crédito sobre ativos médios,Credit Loss Prov/Ave Assets,Provisión para pérdidas crediticias sobre activos promedio
total_noninterest_expense,FLOAT64,Total Noninterest Expense,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NONIX,Despesa total não decorrente de juros,Total Noninterest Expense,Gasto total no derivado de intereses
net_loans_and_leases_per_assets,FLOAT64,Net Loans & Leases/Assets,,no,,percent,no,,LNLSNTV,Empréstimos e arrendamentos líquidos sobre ativos,Net Loans & Leases/Assets,Préstamos y arrendamientos netos sobre activos
total_deposits,FLOAT64,"The sum of all deposits including demand deposits, money market deposits, other savings deposits, time deposits and deposits in foreign offices.",,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEP,"Soma de todos os depósitos, incluindo depósitos à vista, depósitos de mercado monetário, demais depósitos de poupança, depósitos a prazo e depósitos em agências no exterior","The sum of all deposits including demand deposits, money market deposits, other savings deposits, time deposits and deposits in foreign offices.","Suma de todos los depósitos, incluyendo depósitos a la vista, depósitos de mercado monetario, demás depósitos de ahorro, depósitos a plazo y depósitos en oficinas del exterior"
all_other_loans_and_leases_including_farm_ratio_idncothr,FLOAT64,All other loans & leases (including farm ),,no,,percent,no,,IDNCOTHR,Demais empréstimos e arrendamentos (incluindo rurais),All other loans & leases (including farm ),Demás préstamos y arrendamientos (incluyendo rurales)
net_interest_income,FLOAT64,Net Interest Income,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NIM,Receita líquida de juros,Net Interest Income,Ingreso neto por intereses
total_rbc_ratio_pca,FLOAT64,Total RBC Ratio-PCA,,no,,percent,no,,RBCRWAJ,"Índice de capital total ponderado pelo risco, definição PCA",Total RBC Ratio-PCA,"Índice de capital total ponderado por riesgo, definición PCA"
real_estate_principal_securitised_asset_sold_szlnci,FLOAT64,Real Estate Principal Securitised Asset Sold - Ci,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SZLNCI,Principal de ativos comerciais e industriais securitizados e vendidos,Real Estate Principal Securitised Asset Sold - Ci,Principal de activos comerciales e industriales securitizados y vendidos
carry_amt_loss_share_debt_sec,FLOAT64,Carry Amt Loss Share -Debt Sec,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LSASCDBT,Valor contábil de títulos de dívida sob acordo de perda compartilhada,Carry Amt Loss Share -Debt Sec,Valor contable de valores de deuda bajo acuerdo de pérdida compartida
noncurrent_loans_which_are_wholly_or_ratio,FLOAT64,Noncurrent Loans Which Are Wholly or Partially Guaranteed By The U.S. Government Ratio,,no,,percent,no,,IDNCGTPR,"Empréstimos inadimplentes total ou parcialmente garantidos pelo governo dos Estados Unidos, como proporção da carteira",Noncurrent Loans Which Are Wholly or Partially Guaranteed By The U.S. Government Ratio,"Préstamos en incumplimiento total o parcialmente garantizados por el gobierno de los Estados Unidos, como proporción de la cartera"
earnings_coverage_of_net_loan_chargeoffs_x_ratio,FLOAT64,Earnings Coverage of Net Loan Charge-Offs (X),,no,,percent,no,,IDERNCVR,"Cobertura das baixas líquidas por perda pelos resultados, em vezes",Earnings Coverage of Net Loan Charge-Offs (X),"Cobertura de los castigos netos por pérdida con los resultados, en veces"
number_of_fiduciary_accounts_and_related,FLOAT64,Number of Fiduciary Accounts and Related Asset Accounts,,no,,unit,no,,NFAA,Número de contas fiduciárias e de contas de ativos relacionadas,Number of Fiduciary Accounts and Related Asset Accounts,Número de cuentas fiduciarias y de cuentas de activos relacionadas
total_noninterest_income,FLOAT64,Total Noninterest Income,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NONII,Receita total não decorrente de juros,Total Noninterest Income,Ingreso total no derivado de intereses
total_equity_capital,FLOAT64,Total Equity Capital,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EQTOT,Patrimônio líquido total,Total Equity Capital,Patrimonio neto total
real_estate_loans,FLOAT64,Real Estate Loans,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNRE,Empréstimos imobiliários,Real Estate Loans,Préstamos inmobiliarios
commercial_and_industrial_loans,FLOAT64,Commercial and Industrial Loans,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNCI,Empréstimos comerciais e industriais,Commercial and Industrial Loans,Préstamos comerciales e industriales
consumer_loans_other,FLOAT64,Consumer Loans-Other,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNCONOTH,Demais empréstimos ao consumidor,Consumer Loans-Other,Demás préstamos al consumidor
agricultural_loans,FLOAT64,Agricultural Loans,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNAG,Empréstimos agrícolas,Agricultural Loans,Préstamos agrícolas
real_estate_construction_and_land_develop,FLOAT64,Real Estate Construction & Land Develop,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNRECONS,Empréstimos imobiliários para construção e loteamento,Real Estate Construction & Land Develop,Préstamos inmobiliarios para construcción y urbanización
real_estate_nonfarm_nonresidential_prop,FLOAT64,Real Estate Nonfarm Nonresidential Prop,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNRENRES,Empréstimos imobiliários para imóveis não rurais e não residenciais,Real Estate Nonfarm Nonresidential Prop,Préstamos inmobiliarios para inmuebles no rurales y no residenciales
real_estate_1_4_family,FLOAT64,Real Estate 1-4 Family,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNRERES,Empréstimos imobiliários residenciais de 1 a 4 unidades,Real Estate 1-4 Family,Préstamos inmobiliarios residenciales de 1 a 4 unidades
real_estate_multifamily,FLOAT64,Real Estate Multifamily,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNREMULT,Empréstimos imobiliários multifamiliares,Real Estate Multifamily,Préstamos inmobiliarios multifamiliares
allow_for_loans_loss_adjusted,FLOAT64,Allow for Loans Loss Adjusted,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNATRES,"Provisão para perdas com empréstimos, ajustada",Allow for Loans Loss Adjusted,"Provisión para pérdidas por préstamos, ajustada"
loans_and_leases_total_ratio,FLOAT64,Loans and Leases-Total,,no,,percent,no,,LNLSGR,Total de empréstimos e arrendamentos,Loans and Leases-Total,Total de préstamos y arrendamientos
noninterest_bearing_deposits,FLOAT64,Noninterest-Bearing Deposits,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPNI,Depósitos não remunerados,Noninterest-Bearing Deposits,Depósitos no remunerados
interest_bearing_deposits,FLOAT64,Interest-Bearing Deposits,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPI,Depósitos remunerados,Interest-Bearing Deposits,Depósitos remunerados
num_deposits_acc_equal_or_less_than_equal_to,FLOAT64,"Num Deposits Acc Equal or Less Than Equal to $250,000",,no,,unit,no,,DEPSMB,Número de contas de depósito de até 250 mil dólares,"Num Deposits Acc Equal or Less Than Equal to $250,000",Número de cuentas de depósito de hasta 250 mil dólares
num_deposits_acc_greater_than_250_000,FLOAT64,"Num Deposits Acc Greater Than $250,000",,no,,unit,no,,DEPLGB,Número de contas de depósito acima de 250 mil dólares,"Num Deposits Acc Greater Than $250,000",Número de cuentas de depósito superiores a 250 mil dólares
u_s_treasury_and_agency,FLOAT64,U.S. Treasury & Agency,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCUS,Títulos do Tesouro e de agências dos Estados Unidos,U.S. Treasury & Agency,Valores del Tesoro y de agencias de los Estados Unidos
municipal_securities,FLOAT64,Municipal Securities,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCMUNI,Títulos municipais,Municipal Securities,Valores municipales
oth_borrowed_funds,FLOAT64,Oth Borrowed Funds,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",OTHBRF,Demais recursos captados,Oth Borrowed Funds,Demás recursos captados
quarterly_return_on_assets,FLOAT64,Quarterly net income after taxes and extraordinary items as a percent of average total assets.,,no,,percent,no,,ROAQ,Lucro líquido do trimestre após impostos e itens extraordinários como percentual dos ativos totais médios,Quarterly net income after taxes and extraordinary items as a percent of average total assets.,Utilidad neta del trimestre después de impuestos y partidas extraordinarias como porcentaje de los activos totales promedio
quarterly_return_on_equity,FLOAT64,Quarterly net income (including gains or losses on securities and extraordinary items) as a percentage of average total equity capital.,,no,,percent,no,,ROEQ,Lucro líquido do trimestre (incluindo ganhos ou perdas com títulos e itens extraordinários) como percentual do patrimônio líquido total médio,Quarterly net income (including gains or losses on securities and extraordinary items) as a percentage of average total equity capital.,Utilidad neta del trimestre (incluyendo ganancias o pérdidas en valores y partidas extraordinarias) como porcentaje del patrimonio neto total promedio
tier_1_rbc_adjusted_llr_pca,FLOAT64,Tier 1 RBC Adjusted Llr - PCA,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",RBCT1J,"Capital de nível 1 ajustado pela provisão para perdas, definição PCA",Tier 1 RBC Adjusted Llr - PCA,"Capital de nivel 1 ajustado por la provisión para pérdidas, definición PCA"
total_loans_and_leases_chargeoffs,FLOAT64,Total Loans & Leases Charge-Offs,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DRLNLS,Baixas por perda de empréstimos e arrendamentos,Total Loans & Leases Charge-Offs,Castigos por pérdida de préstamos y arrendamientos
total_loans_and_leases_recoveries,FLOAT64,Total Loans & Leases Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRLNLS,Recuperações de empréstimos e arrendamentos,Total Loans & Leases Recoveries,Recuperaciones de préstamos y arrendamientos
additional_noninterest_income,FLOAT64,Additional Noninterest Income,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ADDNONII,Demais receitas não decorrentes de juros,Additional Noninterest Income,Demás ingresos no derivados de intereses
additional_noninterest_income_quarterly,FLOAT64,Additional Noninterest Income Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ADDNONIIQ,Demais receitas não decorrentes de juros no trimestre,Additional Noninterest Income Quarterly,Demás ingresos no derivados de intereses del trimestre
additional_noninterest_expense,FLOAT64,Additional Noninterest Expense,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ADDNONINTEXP,Demais despesas não decorrentes de juros,Additional Noninterest Expense,Demás gastos no derivados de intereses
additional_noninterest_expense_quarterly,FLOAT64,Additional Noninterest Expense Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ADDNONINTEXPQ,Demais despesas não decorrentes de juros no trimestre,Additional Noninterest Expense Quarterly,Demás gastos no derivados de intereses del trimestre
real_estate_loan_recoveries_domestic_offices,FLOAT64,Real Estate Loan Recoveries Domestic Offices,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRREOFFDOM,Recuperações de empréstimos imobiliários em agências domésticas,Real Estate Loan Recoveries Domestic Offices,Recuperaciones de préstamos inmobiliarios en oficinas domésticas
real_estate_loan_recoveries_domestic_offices_crreoffdomq,FLOAT64,Real Estate Loan Recoveries Domestic Offices Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRREOFFDOMQ,Recuperações de empréstimos imobiliários em agências domésticas no trimestre,Real Estate Loan Recoveries Domestic Offices Quarterly,Recuperaciones de préstamos inmobiliarios en oficinas domésticas del trimestre
est_uninsured_deposits_in_dom_off_in_insured,FLOAT64,Est Uninsured Deposits in Dom-Off in Insured Branches in US Terr and Possessions,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPUNA,Depósitos não segurados estimados em agências domésticas e em agências seguradas nos territórios e possessões dos Estados Unidos,Est Uninsured Deposits in Dom-Off in Insured Branches in US Terr and Possessions,Depósitos no asegurados estimados en oficinas domésticas y en sucursales aseguradas en los territorios y posesiones de los Estados Unidos
real_estate_loan_chargeoffs_domestic_offices,FLOAT64,Real Estate Loan Charge-Offs Domestic Offices,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DRREOFFDOM,Baixas por perda de empréstimos imobiliários em agências domésticas,Real Estate Loan Charge-Offs Domestic Offices,Castigos por pérdida de préstamos inmobiliarios en oficinas domésticas
real_estate_loan_chargeoffs_domestic_offices_drreoffdomq,FLOAT64,Real Estate Loan Charge-Offs Domestic Offices Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DRREOFFDOMQ,Baixas por perda de empréstimos imobiliários em agências domésticas no trimestre,Real Estate Loan Charge-Offs Domestic Offices Quarterly,Castigos por pérdida de préstamos inmobiliarios en oficinas domésticas del trimestre
total_liabilities_and_capital,FLOAT64,Total Liabilities & Capital,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LIABEQ,Passivos totais e patrimônio líquido,Total Liabilities & Capital,Pasivos totales y patrimonio neto
loans_to_depository_institutions_and,FLOAT64,Loans to Depository Institutions and Acceptance of Other Banks,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNDEPAOBK,Empréstimos a instituições depositárias e aceites de outros bancos,Loans to Depository Institutions and Acceptance of Other Banks,Préstamos a instituciones depositarias y aceptaciones de otros bancos
loans_and_leases_unearned_inc,FLOAT64,Loans & Leases + Unearned Inc,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNLS,Empréstimos e arrendamentos mais receitas não realizadas,Loans & Leases + Unearned Inc,Préstamos y arrendamientos más ingresos no devengados
loans_and_leases_total_adjusted,FLOAT64,Loans and Leases-Total Adjusted,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNLSGRJ,"Total de empréstimos e arrendamentos, ajustado",Loans and Leases-Total Adjusted,"Total de préstamos y arrendamientos, ajustado"
loans_and_leases_gross,FLOAT64,"Loans and Leases, Gross",,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNLSGRS,Empréstimos e arrendamentos brutos,"Loans and Leases, Gross",Préstamos y arrendamientos brutos
real_estate_loans_dom,FLOAT64,Real Estate Loans-Dom,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNREDOM,Empréstimos imobiliários em agências domésticas,Real Estate Loans-Dom,Préstamos inmobiliarios en oficinas domésticas
real_estate_loans_adjusted,FLOAT64,Real Estate Loans Adjusted,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNREJ,Empréstimos imobiliários ajustados,Real Estate Loans Adjusted,Préstamos inmobiliarios ajustados
leases,FLOAT64,Leases,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LS,Arrendamentos mercantis,Leases,Arrendamientos financieros
nonaccrual_loans_and_leases,FLOAT64,Nonaccrual-Loans & Leases,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NALNLS,Empréstimos e arrendamentos em não acumulação de juros,Nonaccrual-Loans & Leases,Préstamos y arrendamientos en no acumulación de intereses
n_90_real_estate_loans_in_domestic_offices,FLOAT64,90+ Real Estate Loans in Domestic Offices,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NARELNDO,Empréstimos imobiliários em agências domésticas com atraso de 90 dias ou mais,90+ Real Estate Loans in Domestic Offices,Préstamos inmobiliarios en oficinas domésticas con mora de 90 días o más
total_n_per_c_loans_and_leases,FLOAT64,Total N/C-Loans & Leases,,no,,percent,no,,NCLNLS,Total de empréstimos e arrendamentos inadimplentes,Total N/C-Loans & Leases,Total de préstamos y arrendamientos en incumplimiento
net_chargeoffs_all_other_loans_and_leases,FLOAT64,Net Charge-offs All other loans & leases (including farm) Numerator,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NTALLOTHNUM,"Baixas líquidas por perda dos demais empréstimos e arrendamentos (incluindo rurais), numerador",Net Charge-offs All other loans & leases (including farm) Numerator,"Castigos netos por pérdida de los demás préstamos y arrendamientos (incluyendo rurales), numerador"
real_estate_loan_net_chargeoffs_domestic,FLOAT64,Real Estate Loan Net Charge-Offs Domestic Offices,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NTREOFFDOM,Baixas líquidas por perda de empréstimos imobiliários em agências domésticas,Real Estate Loan Net Charge-Offs Domestic Offices,Castigos netos por pérdida de préstamos inmobiliarios en oficinas domésticas
real_estate_loan_net_chargeoffs_domestic_ntreoffdomq,FLOAT64,Real Estate Loan Net Charge-Offs Domestic Offices Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NTREOFFDOMQ,Baixas líquidas por perda de empréstimos imobiliários em agências domésticas no trimestre,Real Estate Loan Net Charge-Offs Domestic Offices Quarterly,Castigos netos por pérdida de préstamos inmobiliarios en oficinas domésticas del trimestre
n_1_4_fam_real_estate_chargeoff_per_1_4_fam,FLOAT64,1-4 Fam Real Estate Charge-Off/1-4 Fam Loans Quarterly Ratio,,no,,percent,no,,NTRERESRQ,"Baixas por perda sobre empréstimos imobiliários residenciais de 1 a 4 unidades, no trimestre",1-4 Fam Real Estate Charge-Off/1-4 Fam Loans Quarterly Ratio,"Castigos por pérdida sobre préstamos inmobiliarios residenciales de 1 a 4 unidades, del trimestre"
real_estate_loan_net_chargeoffs_quarterly,FLOAT64,Real Estate Loan Net Charge-Offs Quarterly Ratio,,no,,percent,no,,NTRERQ,"Baixas líquidas por perda sobre empréstimos imobiliários, no trimestre",Real Estate Loan Net Charge-Offs Quarterly Ratio,"Castigos netos por pérdida sobre préstamos inmobiliarios, del trimestre"
time_deposits_over_100m,FLOAT64,Time Deposits Over $100M,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NTRTMLG,Depósitos a prazo acima de 100 mil dólares,Time Deposits Over $100M,Depósitos a plazo superiores a 100 mil dólares
other_assets,FLOAT64,Other Assets,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",OA,Demais ativos,Other Assets,Demás activos
domestic_multi_service_offices,FLOAT64,The number of multiple service domestic offices operated by an institution.,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",OFFDMULT,Número de agências domésticas de serviço múltiplo operadas pela instituição,The number of multiple service domestic offices operated by an institution.,Número de oficinas domésticas de servicio múltiple operadas por la institución
nondomestic_offices,FLOAT64,The number of nondomestic offices operated by an institution.,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",OFFNDOM,Número de agências fora do território nacional operadas pela instituição,The number of nondomestic offices operated by an institution.,Número de oficinas fuera del territorio nacional operadas por la institución
