sic,office,industry_title
6361,Office of Finance,TITLE INSURANCE
6399,Office of Finance,"INSURANCE CARRIERS, NEC"
6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE"
6500,Office of Real Estate & Construction,REAL ESTATE
6510,Office of Real Estate & Construction,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS
6512,Office of Real Estate & Construction,OPERATORS OF NONRESIDENTIAL BUILDINGS
6513,Office of Real Estate & Construction,OPERATORS OF APARTMENT BUILDINGS
6519,Office of Real Estate & Construction,"LESSORS OF REAL PROPERTY, NEC"
6531,Office of Real Estate & Construction,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS)
6532,Office of Real Estate & Construction,REAL ESTATE DEALERS (FOR THEIR OWN ACCOUNT)
6552,Office of Real Estate & Construction,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES)
6770,Multiple Offices,BLANK CHECKS
6792,Office of Energy & Transportation,OIL ROYALTY TRADERS
6794,Office of Real Estate & Construction,PATENT OWNERS & LESSORS
6795,Office of Energy & Transportation,MINERAL ROYALTY TRADERS
6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS
6799,Office of Real Estate & Construction,"INVESTORS, NEC"
7000,Office of Real Estate & Construction,"HOTELS, ROOMING HOUSES, CAMPS & OTHER LODGING PLACES"
7011,Office of Real Estate & Construction,HOTELS & MOTELS
7200,Office of Trade & Services,SERVICES-PERSONAL SERVICES
7310,Office of Trade & Services,SERVICES-ADVERTISING
7311,Office of Trade & Services,SERVICES-ADVERTISING AGENCIES
7320,Office of Trade & Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
7330,Office of Trade & Services,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY"
7331,Office of Trade & Services,SERVICES-DIRECT MAIL ADVERTISING SERVICES
7340,Office of Trade & Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS
7350,Office of Trade & Services,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING
7359,Office of Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC"
7361,Office of Trade & Services,SERVICES-EMPLOYMENT AGENCIES
7363,Office of Trade & Services,SERVICES-HELP SUPPLY SERVICES
7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES
7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE
7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
7377,Office of Trade & Services,SERVICES-COMPUTER RENTAL & LEASING
7380,Office of Trade & Services,SERVICES-MISCELLANEOUS BUSINESS SERVICES
7381,Office of Trade & Services,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES"
7384,Office of Trade & Services,SERVICES-PHOTOFINISHING LABORATORIES
7385,Office of Trade & Services,SERVICES-TELEPHONE INTERCONNECT SYSTEMS
7389,Office of Trade & Services or Office of Energy & Transportation,"SERVICES-BUSINESS SERVICES, NEC"
7500,Office of Trade & Services,"SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING"
7510,Office of Trade & Services,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)
7600,Office of Trade & Services,SERVICES-MISCELLANEOUS REPAIR SERVICES
7812,Office of Trade & Services,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION
7819,Office of Trade & Services,SERVICES-ALLIED TO MOTION PICTURE PRODUCTION
7822,Office of Trade & Services,SERVICES-MOTION PICTURE & VIDEO TAPE DISTRIBUTION
7829,Office of Trade & Services,SERVICES-ALLIED TO MOTION PICTURE DISTRIBUTION
7830,Office of Trade & Services,SERVICES-MOTION PICTURE THEATERS
7841,Office of Trade & Services,SERVICES-VIDEO TAPE RENTAL
7900,Office of Trade & Services,SERVICES-AMUSEMENT & RECREATION SERVICES
7948,Office of Trade & Services,"SERVICES-RACING, INCLUDING TRACK OPERATION"
7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION
7997,Office of Trade & Services,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS
8000,Industrial Applications and Services,SERVICES-HEALTH SERVICES
8011,Industrial Applications and Services,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE
8050,Industrial Applications and Services,SERVICES-NURSING & PERSONAL CARE FACILITIES
8051,Industrial Applications and Services,SERVICES-SKILLED NURSING CARE FACILITIES
8060,Industrial Applications and Services,SERVICES-HOSPITALS
8062,Industrial Applications and Services,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC"
8071,Industrial Applications and Services,SERVICES-MEDICAL LABORATORIES
8082,Industrial Applications and Services,SERVICES-HOME HEALTH CARE SERVICES
8090,Industrial Applications and Services,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC"
8093,Industrial Applications and Services,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC"
8111,Office of Trade & Services,SERVICES-LEGAL SERVICES
8200,Office of Trade & Services,SERVICES-EDUCATIONAL SERVICES
8300,Industrial Applications and Services,SERVICES-SOCIAL SERVICES
8351,Office of Trade & Services,SERVICES-CHILD DAY CARE SERVICES
8600,Office of Trade & Services,SERVICES-MEMBERSHIP ORGANIZATIONS
8700,Office of Trade & Services,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
8711,Office of Trade & Services,SERVICES-ENGINEERING SERVICES
8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
8734,Industrial Applications and Services,SERVICES-TESTING LABORATORIES
8741,Office of Trade & Services,SERVICES-MANAGEMENT SERVICES
8742,Office of Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES
8744,Office of Trade & Services,SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES
8880,Office of International Corp Fin,AMERICAN DEPOSITARY RECEIPTS
8888,Office of International Corp Fin,FOREIGN GOVERNMENTS
8900,Office of Trade & Services,"SERVICES-SERVICES, NEC"
9721,Office of International Corp Fin,INTERNATIONAL AFFAIRS
9995,Office of Real Estate & Construction,NON-OPERATING ESTABLISHMENTS
