table,name,description_pt,description_en,description_es
field_of_study,debt_notmale_pp_eval_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes não masculinos nesta instituição,Median Parent PLUS loan debt disbursed to non-males at this institution,Mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes no masculinos en esta institución
field_of_study,debt_pell_stgp_any_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes com bolsa Pell no conjunto das instituições,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to Pell recipients at all institutions,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes con beca Pell en el conjunto de las instituciones
field_of_study,debt_pell_stgp_any_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes com bolsa Pell no conjunto das instituições,Average Stafford and Grad PLUS loan debt disbursed to Pell recipients at all institutions,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes con beca Pell en el conjunto de las instituciones
field_of_study,debt_pell_stgp_any_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes com bolsa Pell no conjunto das instituições,Median Stafford and Grad PLUS loan debt disbursed to Pell recipients at all institutions,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes con beca Pell en el conjunto de las instituciones
field_of_study,debt_pell_stgp_eval_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes com bolsa Pell nesta instituição,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to Pell recipients at this institution,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes con beca Pell en esta institución
field_of_study,debt_pell_stgp_eval_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes com bolsa Pell nesta instituição,Average Stafford and Grad PLUS loan debt disbursed to Pell recipients at this institution,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes con beca Pell en esta institución
field_of_study,debt_pell_stgp_eval_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes com bolsa Pell nesta instituição,Median Stafford and Grad PLUS loan debt disbursed to Pell recipients at this institution,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes con beca Pell en esta institución
field_of_study,debt_pell_pp_any_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes com bolsa Pell no conjunto das instituições,Student recipient count for average/median Parent PLUS loan debt disbursed to Pell recipients at all institutions,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes con beca Pell en el conjunto de las instituciones
field_of_study,debt_pell_pp_any_mean,Média d a dívida de empréstimos Parent PLUS desembolsada a estudantes com bolsa Pell no conjunto das instituições,Average Parent PLUS loan debt disbursed to Pell recipients at all institutions,Promedio de la deuda de préstamos Parent PLUS desembolsada a estudiantes con beca Pell en el conjunto de las instituciones
field_of_study,debt_pell_pp_any_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes com bolsa Pell no conjunto das instituições,Median Parent PLUS loan debt disbursed to Pell recipients at all institutions,Mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes con beca Pell en el conjunto de las instituciones
field_of_study,debt_pell_pp_eval_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes com bolsa Pell nesta instituição,Student recipient count for average/median Parent PLUS loan debt disbursed to Pell recipients at this institution,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes con beca Pell en esta institución
field_of_study,debt_pell_pp_eval_mean,Média d a dívida de empréstimos Parent PLUS desembolsada a estudantes com bolsa Pell nesta instituição,Average Parent PLUS loan debt disbursed to Pell recipients at this institution,Promedio de la deuda de préstamos Parent PLUS desembolsada a estudiantes con beca Pell en esta institución
field_of_study,debt_pell_pp_eval_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes com bolsa Pell nesta instituição,Median Parent PLUS loan debt disbursed to Pell recipients at this institution,Mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes con beca Pell en esta institución
field_of_study,debt_nopell_stgp_any_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes sem bolsa Pell no conjunto das instituições,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at all institutions,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes sin beca Pell en el conjunto de las instituciones
field_of_study,debt_nopell_stgp_any_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes sem bolsa Pell no conjunto das instituições,Average Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at all institutions,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes sin beca Pell en el conjunto de las instituciones
field_of_study,debt_nopell_stgp_any_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes sem bolsa Pell no conjunto das instituições,Median Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at all institutions,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes sin beca Pell en el conjunto de las instituciones
field_of_study,debt_nopell_stgp_eval_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes sem bolsa Pell nesta instituição,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at this institution,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes sin beca Pell en esta institución
field_of_study,debt_nopell_stgp_eval_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes sem bolsa Pell nesta instituição,Average Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at this institution,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes sin beca Pell en esta institución
field_of_study,debt_nopell_stgp_eval_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes sem bolsa Pell nesta instituição,Median Stafford and Grad PLUS loan debt disbursed to non-Pell-recipients at this institution,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes sin beca Pell en esta institución
field_of_study,debt_nopell_pp_any_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes sem bolsa Pell no conjunto das instituições,Student recipient count for average/median Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes sin beca Pell en el conjunto de las instituciones
field_of_study,debt_nopell_pp_any_mean,Média d a dívida de empréstimos Parent PLUS desembolsada a estudantes sem bolsa Pell no conjunto das instituições,Average Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,Promedio de la deuda de préstamos Parent PLUS desembolsada a estudiantes sin beca Pell en el conjunto de las instituciones
field_of_study,debt_nopell_pp_any_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes sem bolsa Pell no conjunto das instituições,Median Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,Mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes sin beca Pell en el conjunto de las instituciones
field_of_study,debt_nopell_pp_eval_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes sem bolsa Pell nesta instituição,Student recipient count for average/median Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes sin beca Pell en esta institución
field_of_study,debt_nopell_pp_eval_mean,Média d a dívida de empréstimos Parent PLUS desembolsada a estudantes sem bolsa Pell nesta instituição,Average Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,Promedio de la deuda de préstamos Parent PLUS desembolsada a estudiantes sin beca Pell en esta institución
field_of_study,debt_nopell_pp_eval_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes sem bolsa Pell nesta instituição,Median Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,Mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes sin beca Pell en esta institución
field_of_study,debt_all_pp_any_mdn10yrpay,Estimativa mediana da prestação mensal d a dívida de empréstimos Parent PLUS desembolsada no conjunto das instituições,Median estimated monthly payment for Parent PLUS loan debt disbursed at all institutions,Estimación mediana de la cuota mensual de la deuda de préstamos Parent PLUS desembolsada en el conjunto de las instituciones
field_of_study,debt_all_pp_eval_mdn10yrpay,Estimativa mediana da prestação mensal d a dívida de empréstimos Parent PLUS desembolsada nesta instituição,Median estimated monthly payment for Parent PLUS loan debt disbursed at this institution,Estimación mediana de la cuota mensual de la deuda de préstamos Parent PLUS desembolsada en esta institución
field_of_study,debt_all_stgp_any_mdn10yrpay,Estimativa mediana da prestação mensal d a dívida de empréstimos Stafford e Grad PLUS desembolsada no conjunto das instituições,Median estimated monthly payment for Stafford and Grad PLUS loan debt disbursed at all institutions,Estimación mediana de la cuota mensual de la deuda de préstamos Stafford y Grad PLUS desembolsada en el conjunto de las instituciones
field_of_study,debt_all_stgp_eval_mdn10yrpay,Estimativa mediana da prestação mensal d a dívida de empréstimos Stafford e Grad PLUS desembolsada nesta instituição,Median estimated monthly payment for Stafford and Grad PLUS loan debt disbursed at this institution,Estimación mediana de la cuota mensual de la deuda de préstamos Stafford y Grad PLUS desembolsada en esta institución
field_of_study,earn_count_nwne_hi_1yr,Número de concluintes sem trabalhar e sem estar matriculados 1 ano após concluírem a credencial mais alta,Number of graduates not working and not enrolled 1 year after completing highest credential,Número de egresados sin trabajar y sin estar matriculados 1 año después de concluir la credencial más alta
field_of_study,earn_cntover150_hi_1yr,Número de concluintes trabalhando e sem estar matriculados que ganharam mais de 150% da linha de pobreza de um domicílio unipessoal 1 ano após concluírem a credencial mais alta,Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 1 year after completing highest credential,Número de egresados trabajando y sin estar matriculados que ganaron más del 150% de la línea de pobreza de un hogar unipersonal 1 año después de concluir la credencial más alta
field_of_study,earn_count_wne_hi_1yr,Número de concluintes trabalhando e sem estar matriculados 1 ano após concluírem a credencial mais alta,Number of graduates working and not enrolled 1 year after completing highest credential,Número de egresados trabajando y sin estar matriculados 1 año después de concluir la credencial más alta
field_of_study,earn_mdn_hi_1yr,Rendimento mediano de concluintes trabalhando e sem estar matriculados 1 ano após concluírem a credencial mais alta,Median earnings of graduates working and not enrolled 1 year after completing highest credential,Ingreso mediano de egresados trabajando y sin estar matriculados 1 año después de concluir la credencial más alta
field_of_study,earn_count_nwne_hi_2yr,Número de concluintes sem trabalhar e sem estar matriculados 2 anos após concluírem a credencial mais alta,Number of graduates not working and not enrolled 2 years after completing highest credential,Número de egresados sin trabajar y sin estar matriculados 2 años después de concluir la credencial más alta
field_of_study,earn_cntover150_hi_2yr,Número de concluintes trabalhando e sem estar matriculados que ganharam mais de 150% da linha de pobreza de um domicílio unipessoal 2 anos após concluírem a credencial mais alta,Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 2 years after completing highest credential,Número de egresados trabajando y sin estar matriculados que ganaron más del 150% de la línea de pobreza de un hogar unipersonal 2 años después de concluir la credencial más alta
field_of_study,earn_count_wne_hi_2yr,Número de concluintes trabalhando e sem estar matriculados 2 anos após concluírem a credencial mais alta,Number of graduates working and not enrolled 2 years after completing highest credential,Número de egresados trabajando y sin estar matriculados 2 años después de concluir la credencial más alta
field_of_study,earn_mdn_hi_2yr,Rendimento mediano de concluintes trabalhando e sem estar matriculados 2 anos após concluírem a credencial mais alta,Median earnings of graduates working and not enrolled 2 years after completing highest credential,Ingreso mediano de egresados trabajando y sin estar matriculados 2 años después de concluir la credencial más alta
field_of_study,bbrr2_fed_comp_n,"Contagem de tomadores de empréstimo estudantil federal em 2 anos, entre concluintes",Federal student loan borrower-based 2-year borrower count of completers,"Conteo de prestatarios de préstamo estudiantil federal en 2 años, entre egresados"
field_of_study,bbrr2_fed_comp_dflt,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em inadimplência após 2 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 2 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en incumplimiento después de 2 años"
field_of_study,bbrr2_fed_comp_dlnq,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em atraso após 2 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 2 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en mora después de 2 años"
field_of_study,bbrr2_fed_comp_fbr,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em suspensão temporária de pagamento após 2 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 2 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en suspensión temporal de pago después de 2 años"
field_of_study,bbrr2_fed_comp_dfr,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em diferimento após 2 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 2 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en aplazamiento después de 2 años"
field_of_study,bbrr2_fed_comp_noprog,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação sem progresso na amortização após 2 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 2 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado sin progreso en la amortización después de 2 años"
field_of_study,bbrr2_fed_comp_makeprog,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com progresso na amortização após 2 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 2 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con progreso en la amortización después de 2 años"
field_of_study,bbrr2_fed_comp_paidinfull,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com o saldo integralmente pago após 2 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 2 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con el saldo íntegramente pagado después de 2 años"
field_of_study,bbrr2_fed_comp_discharge,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com todos os empréstimos extintos após 2 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 2 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con todos los préstamos extinguidos después de 2 años"
field_of_study,bbrr3_fed_comp_n,"Contagem de tomadores de empréstimo estudantil federal em 3 anos, entre concluintes",Federal student loan borrower-based 3-year borrower count of completers,"Conteo de prestatarios de préstamo estudiantil federal en 3 años, entre egresados"
field_of_study,bbrr3_fed_comp_dflt,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em inadimplência após 3 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 3 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en incumplimiento después de 3 años"
field_of_study,bbrr3_fed_comp_dlnq,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em atraso após 3 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 3 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en mora después de 3 años"
field_of_study,bbrr3_fed_comp_fbr,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em suspensão temporária de pagamento após 3 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 3 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en suspensión temporal de pago después de 3 años"
field_of_study,bbrr3_fed_comp_dfr,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em diferimento após 3 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 3 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en aplazamiento después de 3 años"
field_of_study,bbrr3_fed_comp_noprog,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação sem progresso na amortização após 3 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 3 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado sin progreso en la amortización después de 3 años"
field_of_study,bbrr3_fed_comp_makeprog,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com progresso na amortização após 3 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 3 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con progreso en la amortización después de 3 años"
field_of_study,bbrr3_fed_comp_paidinfull,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com o saldo integralmente pago após 3 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 3 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con el saldo íntegramente pagado después de 3 años"
field_of_study,bbrr3_fed_comp_discharge,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com todos os empréstimos extintos após 3 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 3 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con todos los préstamos extinguidos después de 3 años"
field_of_study,earn_count_pell_wne_1yr,Número de concluintes que receberam bolsa Pell e estavam trabalhando e sem estar matriculados 1 ano após a conclusão,Number of graduates who received a Pell Grant and were working and not enrolled 1 year after completing,Número de egresados que recibieron beca Pell y estaban trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_pell_wne_mdn_1yr,Rendimento mediano de concluintes que receberam bolsa Pell e estavam trabalhando e sem estar matriculados 1 ano após a conclusão,Median earnings of graduates who received a Pell Grant and were working and not enrolled 1 year after completing,Ingreso mediano de egresados que recibieron beca Pell y estaban trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_count_nopell_wne_1yr,Número de concluintes que não receberam bolsa Pell e estavam trabalhando e sem estar matriculados 1 ano após a conclusão,Number of graduates who did not receive a Pell Grant and were working and not enrolled 1 year after completing,Número de egresados que no recibieron beca Pell y estaban trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_nopell_wne_mdn_1yr,Rendimento mediano de concluintes que não receberam bolsa Pell e estavam trabalhando e sem estar matriculados 1 ano após a conclusão,Median earnings of graduates who did not receive a Pell Grant and were working and not enrolled 1 year after completing,Ingreso mediano de egresados que no recibieron beca Pell y estaban trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_count_male_wne_1yr,Número de concluintes do sexo masculino trabalhando e sem estar matriculados 1 ano após a conclusão,Number of male graduates working and not enrolled 1 year after completing,Número de egresados de sexo masculino trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_male_wne_mdn_1yr,Rendimento mediano de concluintes do sexo masculino trabalhando e sem estar matriculados 1 ano após a conclusão,Median earnings of male graduates working and not enrolled 1 year after completing,Ingreso mediano de egresados de sexo masculino trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_count_nomale_wne_1yr,Número de concluintes não masculinos trabalhando e sem estar matriculados 1 ano após a conclusão,Number of non-male graduates working and not enrolled 1 year after completing,Número de egresados no masculinos trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_nomale_wne_mdn_1yr,Rendimento mediano de concluintes não masculinos trabalhando e sem estar matriculados 1 ano após a conclusão,Median earnings of non-male graduates working and not enrolled 1 year after completing,Ingreso mediano de egresados no masculinos trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_count_ne_3yr,Número de concluintes sem estar matriculados 3 anos após concluírem a credencial mais alta,Number of graduates not enrolled 3 years after completing highest credential,Número de egresados sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_ne_mdn_3yr,Rendimento mediano de concluintes sem estar matriculados 3 anos após concluírem a credencial mais alta,Median earnings of graduates not enrolled 3 years after completing highest credential,Ingreso mediano de egresados sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_count_wne_3yr,Número de concluintes trabalhando e sem estar matriculados 3 anos após concluírem a credencial mais alta,Number of graduates working and not enrolled 3 years after completing highest credential,Número de egresados trabajando y sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_cntover150_3yr,Número de concluintes trabalhando e sem estar matriculados que ganharam mais de 150% da linha de pobreza de um domicílio unipessoal 3 anos após concluírem a credencial mais alta,Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 3 years after completing highest credential,Número de egresados trabajando y sin estar matriculados que ganaron más del 150% de la línea de pobreza de un hogar unipersonal 3 años después de concluir la credencial más alta
field_of_study,earn_count_pell_ne_3yr,Número de concluintes que receberam bolsa Pell e estavam sem estar matriculados 3 anos após concluírem a credencial mais alta,Number of graduates who received a Pell Grant and were not enrolled 3 years after completing highest credential,Número de egresados que recibieron beca Pell y estaban sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_pell_ne_mdn_3yr,Rendimento mediano de concluintes que receberam bolsa Pell e estavam sem estar matriculados 3 anos após concluírem a credencial mais alta,Median earnings of graduates who received a Pell Grant and were not enrolled 3 years after completing highest credential,Ingreso mediano de egresados que recibieron beca Pell y estaban sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_count_nopell_ne_3yr,Número de concluintes que não receberam bolsa Pell e estavam sem estar matriculados 3 anos após concluírem a credencial mais alta,Number of graduates who did not receive a Pell Grant and were not enrolled 3 years after completing highest credential,Número de egresados que no recibieron beca Pell y estaban sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_nopell_ne_mdn_3yr,Rendimento mediano de concluintes que não receberam bolsa Pell e estavam sem estar matriculados 3 anos após concluírem a credencial mais alta,Median earnings of graduates who did not receive a Pell Grant and were not enrolled 3 years after completing highest credential,Ingreso mediano de egresados que no recibieron beca Pell y estaban sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_count_male_ne_3yr,Número de concluintes do sexo masculino sem estar matriculados 3 anos após concluírem a credencial mais alta,Number of male graduates not enrolled 3 years after completing highest credential,Número de egresados de sexo masculino sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_male_ne_mdn_3yr,Rendimento mediano de concluintes do sexo masculino sem estar matriculados 3 anos após concluírem a credencial mais alta,Median earnings of male graduates not enrolled 3 years after completing highest credential,Ingreso mediano de egresados de sexo masculino sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_count_nomale_ne_3yr,Número de concluintes não masculinos sem estar matriculados 3 anos após concluírem a credencial mais alta,Number of non-male graduates not enrolled 3 years after completing highest credential,Número de egresados no masculinos sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_nomale_ne_mdn_3yr,Rendimento mediano de concluintes não masculinos sem estar matriculados 3 anos após concluírem a credencial mais alta,Median earnings of non-male graduates not enrolled 3 years after completing highest credential,Ingreso mediano de egresados no masculinos sin estar matriculados 3 años después de concluir la credencial más alta
field_of_study,earn_count_nwne_1yr,Número de concluintes sem trabalhar e sem estar matriculados 1 ano após a conclusão,Number of graduates not working and not enrolled 1 year after completing,Número de egresados sin trabajar y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_count_wne_1yr,Número de concluintes trabalhando e sem estar matriculados 1 ano após a conclusão,Number of graduates working and not enrolled 1 year after completing,Número de egresados trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_mdn_1yr,Rendimento mediano de concluintes trabalhando e sem estar matriculados 1 ano após a conclusão,Median earnings of graduates working and not enrolled 1 year after completing,Ingreso mediano de egresados trabajando y sin estar matriculados 1 año después de la conclusión
field_of_study,earn_gt_threshold_1yr,Número de concluintes trabalhando e sem estar matriculados 1 ano após a conclusão que ganharam mais do que um concluinte do ensino médio,Number of graduates working and not enrolled 1 year after completing who earned more than a high school graduate,Número de egresados trabajando y sin estar matriculados 1 año después de la conclusión que ganaron más que un egresado de la enseñanza media
field_of_study,earn_count_high_cred_1yr,Número de concluintes trabalhando e sem estar matriculados 1 ano após a conclusão que posteriormente obtiveram uma credencial superior,Number of graduates working and not enrolled 1 year after completing who went on to earn a higher credential,Número de egresados trabajando y sin estar matriculados 1 año después de la conclusión que posteriormente obtuvieron una credencial superior
field_of_study,earn_in_state_1yr,Número de concluintes trabalhando e sem estar matriculados 1 ano após a conclusão que estavam empregados no mesmo estado da instituição,Number of graduates working and not enrolled 1 year after completing who were employed within the same state as the institution,Número de egresados trabajando y sin estar matriculados 1 año después de la conclusión que estaban empleados en el mismo estado de la institución
field_of_study,earn_count_nwne_4yr,Número de concluintes sem trabalhar e sem estar matriculados 4 anos após a conclusão,Number of graduates not working and not enrolled 4 year after completing,Número de egresados sin trabajar y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_count_wne_4yr,Número de concluintes trabalhando e sem estar matriculados 4 anos após a conclusão,Number of graduates working and not enrolled 4 year after completing,Número de egresados trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_mdn_4yr,Rendimento mediano de concluintes trabalhando e sem estar matriculados 4 anos após a conclusão,Median earnings of graduates working and not enrolled 4 year after completing,Ingreso mediano de egresados trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_gt_threshold_4yr,Número de concluintes trabalhando e sem estar matriculados 4 anos após a conclusão que ganharam mais do que um concluinte do ensino médio,Number of graduates working and not enrolled 4 years after completing who earned more than a high school graduate,Número de egresados trabajando y sin estar matriculados 4 años después de la conclusión que ganaron más que un egresado de la enseñanza media
field_of_study,earn_count_pell_wne_4yr,Número de concluintes que receberam bolsa Pell e estavam trabalhando e sem estar matriculados 4 anos após a conclusão,Number of graduates who received a Pell Grant and were working and not enrolled 4 year after completing,Número de egresados que recibieron beca Pell y estaban trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_pell_wne_mdn_4yr,Rendimento mediano de concluintes que receberam bolsa Pell e estavam trabalhando e sem estar matriculados 4 anos após a conclusão,Median earnings of graduates who received a Pell Grant and were working and not enrolled 4 year after completing,Ingreso mediano de egresados que recibieron beca Pell y estaban trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_count_nopell_wne_4yr,Número de concluintes que não receberam bolsa Pell e estavam trabalhando e sem estar matriculados 4 anos após a conclusão,Number of graduates who did not receive a Pell Grant and were working and not enrolled 4 year after completing,Número de egresados que no recibieron beca Pell y estaban trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_nopell_wne_mdn_4yr,Rendimento mediano de concluintes que não receberam bolsa Pell e estavam trabalhando e sem estar matriculados 4 anos após a conclusão,Median earnings of graduates who did not receive a Pell Grant and were working and not enrolled 4 year after completing,Ingreso mediano de egresados que no recibieron beca Pell y estaban trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_count_male_wne_4yr,Número de concluintes do sexo masculino trabalhando e sem estar matriculados 4 anos após a conclusão,Number of male graduates working and not enrolled 4 year after completing,Número de egresados de sexo masculino trabajando y sin estar matriculados 4 años después de la conclusión
