"ntee","description","definition"
"G51","Arthritis","Voluntary health organizations active in the prevention or treatment of arthritis (including osteoarthritis and rheumatoid arthritis), an inflammatory condition affecting the joints. The related medical specialty is rheumatology, a subspecialty of internal medicine, though rheumatology is broader and covers more conditions than arthritis."
"G54","Epilepsy","Voluntary health organizations active in the prevention or treatment of epilepsy, a recurrent paroxysmal disorder of cerebral function that is characterized by sudden brief interruptions in or complete loss of consciousness, motor activity and/or sensory phenomena."
"G60","Allergy-Related Diseases","Voluntary health organizations active in the prevention or treatment of diseases and conditions that involve hypersensitivity to substances that do not normally cause a reaction."
"G61","Asthma","Voluntary health organizations active in the prevention or treatment of asthma, a disorder of the bronchial system that is characterized by labored breathing and wheezing."
"G70","Digestive Diseases & Disorders","Voluntary health organizations active in the prevention or treatment of diseases and conditions such as abdominal pain, ulcers, diarrhea or jaundice that affect the digestive system including the stomach, bowels, liver, gallbladder and related organs. The related medical specialty is gastroenterology, a subspecialty of internal medicine."
"G80","Specifically Named Diseases","Voluntary health organizations active in the prevention or treatment of specifically named diseases and conditions. Use this code for named diseases not specified below."
"G81","AIDS","Voluntary health organizations active in the prevention or treatment of AIDS, a disease that impairs the functioning of the bodys immune system, leaving affected individuals vulnerable to illnesses that would not otherwise occur."
"G83","Alzheimers Disease","Voluntary health organizations active in the prevention or treatment of Alzheimers disease, a form of presenile dementia which is caused by atrophy of the frontal and occipital lobes of the brain."
"G84","Autism","Voluntary health organizations active in the prevention or treatment of autism, a developmental disability, usually evident by age three, which affects a childs ability to communicate, understand language, play and relate to others."
"G90","Medical Disciplines","Organizations that represent physicians who have special training and expertise in one clinical area of practice which focuses on a specific age group, an organ system of the body, or on complex scientific techniques developed to diagnose or treat certain types of disorders. Use this code for organizations that represent a wide variety of medical disciplines or those that are not specified below."
"G92","Biomedicine & Bioengineering","Organizations that represent physicians who have advanced training in the development, implantation and utilization of cardiac pacemakers, cochlear implants and other hearing aids, artificial limbs and joints and other similar devices."
"G94","Geriatrics","Organizations that represent physicians who have advanced training in the medical specialty which provides preventive, diagnostic and treatment services for elderly individuals who have diseases and conditions that are associated with the aging process."
"G96","Neurology & Neuroscience","Organizations that represent physicians who have advanced training in the medical specialty which provides comprehensive medical management including preventive, diagnostic and treatment services for individuals who have diseases or injuries that affect the central, peripheral or autonomic nervous systems including the brain, cranial nerves, spinal cord, spinal nerves and other related structures."
"G98","Pediatrics","Organizations that represent physicians who have advanced training in the biological, social and environmental factors that have an influence on a developing child and expertise in diagnosing and treating acute and chronic diseases that are common to children and youth."
"G99","Voluntary Health Associations & Medical Disciplines N.E.C.","Use this code for organizations that clearly provide services related to diseases, disorders or medical spcialities where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"G9B","Surgical Specialties","Organizations that represent physicians who have advanced training in the medical specialty which diagnoses conditions which require surgical intervention and provide preoperative, operative and postoperative care for surgical patients."
"H","Medical Research",NA
"H01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Medical Research major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"H02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Medical Research major group area."
"H03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Medical Research major group area."
"H05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Medical Research major group area."
"H11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Medical Research major group area."
"H12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Medical Research major group area."
"H19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Medical Research major group area."
"H20","Birth Defects & Genetic Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of any of a number of illnesses or conditions that are hereditary and passed from parent to offspring."
"H25","Down Syndrome Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of Down Syndrome, a hereditary condition that results in intellectual disability."
"H30","Cancer Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of cancer. Use this code for organizations whose research focuses on a wide variety of forms of cancer."
"H32","Breast Cancer Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of breast cancer."
"H40","Diseases of Specific Organs Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect specific organs or organ systems in the body. Use this code for organizations whose research focuses on diseases that affect a wide range of organs or organ systems or on those not specified below."
"H41","Eye Diseases, Blindness & Vision Impairments Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect eyes. The associated medical specialty is ophthalmology."
"H42","Ear & Throat Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the head and neck including the ears, the respiratory and upper alimentary systems, the face, the jaws and related structures. The related medical specialty is otolaryngology."
"H43","Heart & Circulatory System Diseases & Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases or conditions, including stroke, that affect the heart, lungs and blood vessels. The related medical specialty is cardiovascular medicine, a subspecialty of internal medicine."
"H44","Kidney Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the kidneys. The related medical specialty is nephrology, a subspecialty of internal medicine."
"H45","Lung Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the lungs. The related medical specialty is pulmonary disease specialists."
"H48","Brain Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that affect the brain."
"H50","Nerve, Muscle & Bone Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases or conditions that affect the nerves, muscles or bones. Use this code for organizations whose research focuses on a wide variety of nerve, muscle or bone diseases or on those not specified below. The related medical specialty is orthopedic surgery."
"H51","Arthritis Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of arthritis (including osteoarthritis and rheumatoid arthritis), an inflammatory condition affecting the joints. The related medical specialty is rheumatology, a subspecialty of internal medicine, though rheumatology is broader and covers more conditions than arthritis."
"H54","Epilepsy Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of epilepsy, a recurrent paroxysmal disorder of cerebral function that is characterized by sudden brief interruptions in or complete loss of consciousness, motor activity and/or sensory phenomena."
"H60","Allergy-Related Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions that involve hypersensitivity to substances that do not normally cause a reaction. Use this code for organizations whose research focuses on a wide variety of allergy-related diseases or on specific allergy-related diseases."
"H61","Asthma Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of asthma, a disorder of the bronchial system that is characterized by labored breathing and wheezing."
"H70","Digestive Diseases & Disorders Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of diseases and conditions such as abdominal pain, ulcers, diarrhea or jaundice that affect the digestive system including the stomach, bowels, liver, gallbladder and related organs. The related medical specialty is gastroenterology, a subspecialty of internal medicine."
"H80","Specifically Named Diseases Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of specifically named diseases and conditions. Use this code for organizations that conduct research on a multiplicity of named diseases or on named diseases not specified below."
"H81","AIDS Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of AIDS, a disease that impairs the functioning of the bodys immune system, leaving affected individuals vulnerable to illnesses that would not otherwise occur."
"H83","Alzheimers Disease Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of Alzheimers disease, a form of presenile dementia which is caused by atrophy of the front and occipital lobes of the brain."
"H84","Autism Research","Organizations that conduct research which can be used to improve the prevention, diagnosis and treatment of autism, a developmental disability, usually evident by age three, which affects a childs ability to communicate, understand language, play and relate to others."
"H90","Medical Disciplines Research","Organizations that conduct research which can be used to improve the options available to physicians who have special training and expertise in one clinical area of practice which focuses on a specific age group, an organ system of the body, or complex scientific techniques developed to diagnose or treat certain types of disorders. Use this code for organizations whose research covers a wide variety of medical disciplines or those that are not specified below."
"H92","Biomedicine & Bioengineering Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the development, implantation and utilization of cardiac pacemakers, cochlear implants and other hearing aids, artificial limbs and joints and other similar devices."
"H94","Geriatrics Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which provides preventive, diagnostic and treatment services for elderly individuals who have diseases or conditions that are associated with the aging process."
"H96","Neurology & Neuroscience Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which provides comprehensive medical management including preventive, diagnostic and treatment services for individuals who have diseases or injuries that affect the central, peripheral or autonomic nervous systems including the brain, cranial nerves, spinal cord, spinal nerves and other related structures."
"H98","Pediatrics Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the biological, social and environmental factors that have an influence on a developing child and expertise in diagnosing and treating acute and chronic diseases that are common to children and youth."
"H99","Medical Research N.E.C.","Use this code for organizations that clearly provide services related to research regarding diseases, disorders or medical specialties where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"H9B","Surgical Specialties Research","Organizations that conduct research which can be used to improve the options available to physicians who have advanced training in the medical specialty which diagnoses conditions which require surgical intervention and provide preoperative, operative and postoperative care for surgical patients."
"I","Crime & Legal-Related",NA
"I01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Crime, Legal Related major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"I02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Crime, Legal Related major group area."
"I03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Crime, Legal Related major group area."
"I05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Crime, Legal Related major group area."
"I11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Crime & Legal-Related major group area."
"I12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Crime, Legal Related major group area."
"I19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Crime, Legal Related major group area."
"I20","Crime Prevention","Organizations that provide information and services that help the public protect themselves from crime or which prevent its occurrence. Also included are organizations that provide a mechanism for reporting crimes. Use this code for crime prevention programs not specified below."
"I21","Youth Violence Prevention","Organizations that offer a variety of activities for youth who have demonstrated or are at risk for behavior which is likely to be unlawful or to involve them in the juvenile justice system. Also included are community councils, coalitions and other groups whose primary purpose is to prevent delinquency."
"I23","Drunk Driving-Related","Organizations that provide first and multiple offender drunk driving programs for adults and juveniles or which offer transportation services for drinking drivers. Also includes community action groups like MADD that are against drunk driving."
"I30","Correctional Facilities","Privately operated, community-based nonprofit correctional facilities for adults or juveniles who have been sentenced to imprisonment after conviction for an offense. These facilities serve the same function as government-operated programs, and most operate on a contract with the county or the state."
"I31","Half-Way Houses for Offenders & Ex-Offenders","Community-based residential facilities which allow adult and juvenile offenders with satisfactory behavior to transition back to the community during the last months of their sentences or which provide congregate living arrangements and supportive services for ex-offenders to help them successfully reenter the community and become self-sufficient. These facilities are known as work release centers, prerelease centers, rehabilitation centers and group homes for juvenile offenders or status offenders."
"I40","Rehabilitation Services for Offenders","Organizations that provide counseling, job seeking assistance and other nonresidential supportive services that help adult and/or juvenile offenders re-integrate into the community following their release from a correctional facility. Use this code for rehabilitation services not specified below."
"I43","Inmate Support","Organizations that provide emotional support, friendship, advice and guidance or other types of support for inmates while they are incarcerated and/or which facilitate contact between inmates and family members."
"I44","Prison Alternatives","Organizations that provide intensive treatment and rehabilitation services for adult or juvenile offenders. The focus of the service is on rehabilitation of the offender rather than preparation for release into the community."
"I50","Administration of Justice","Organizations that are concerned with court administration; court reform including the rights and privileges of prisoners, incarceration alternatives and other criminal justice issues; and alternatives to litigation."
"I51","Dispute Resolution & Mediation","Organizations that provide mediation services which help individuals who are having a dispute discuss the situation and reach an agreement without resorting to litigation."
"I60","Law Enforcement","Law enforcement associations, advisory councils or other nonprofit community groups that provide advice and direction for police departments; auxiliaries or other community-based organizations that collect and disburse money in aid of injured police officers or in support of local law enforcement activities; and other nonprofit groups that have an interest in law enforcement issues."
"I70","Protection Against Abuse","Organizations that attempt to reduce the incidence of child abuse, elder abuse and spouse abuse in family settings through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large."
"I71","Spouse Abuse Prevention","Organizations that deal specifically with the prevention of domestic violence through educational interventions which may focus on batterers, people at risk for domestic violence, people who work with battered women and/or the community at large."
"I72","Child Abuse Prevention","Organizations that deal specifically with the prevention of child abuse including incest through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large."
"I73","Sexual Abuse Prevention","Organizations that deal specifically with the prevention of sexual assault (for adults and children)."
"I80","Legal Services","Organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged."
"I83","Public Interest Law","Organizations that primarily handle class action litigation and lawsuits related to issues of interest to the public in general rather than assisting individuals."
"I99","Crime & Legal-Related N.E.C.","Use this code for organizations that clearly provide crime and legal related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"J","Employment",NA
"J01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Employment, Job Related major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"J02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Employment, Job Related major group area."
"J03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Employment, Job Related major group area."
"J05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Employment, Job Related major group area."
"J11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Employment major group area."
"J12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Employment, Job Related major group area."
"J19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Employment, Job Related major group area."
"J20","Employment Preparation & Procurement","Organizations that help people prepare for, find, secure and retain suitable employment. Use this code for organizations that provide a wide range of employment services or those that offer employment-related services not specified below. Includes: Employment placement agencies; Job development organizations including those for youth and people with disabilities; Retraining; and Senior Community Service Employment Programs"
"J21","Vocational Counseling","Organizations that administer tests which measure the skills, abilities and interests of job seekers and help them make appropriate decisions regarding an occupational field or position."
"J22","Job Training","Organizations that train people in the specific skills they will need to obtain employment in a particular industry or which provide work experience for youth or others who have no employment history."
"J30","Vocational Rehabilitation","Organizations that provide job training and employment experiences for individuals with disabilities, people who have been disabled by use of drugs or alcohol or people with emotional difficulties, with the objective of helping them to become economically self-sufficient."
"J32","Goodwill Industries","Goodwill Industries sites."
"J33","Sheltered Employment","Organizations that provide paid employment opportunities in a controlled, protected environment for people with disabilities who are unable to obtain competitive employment. Also included are work activity centers which provide personal and social development opportunities for participants who have demonstrated inconsequential production capacity."
"J40","Labor Unions","Organizations that work to promote the rights of employees to fair remuneration and safe working conditions \[Note: These are generally section 501(c)(5) organizations\]."
"J99","Employment N.E.C.","Use this code for organizations that clearly provide employment and job related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"K","Food, Agriculture & Nutrition",NA
"K01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Food, Agriculture, and Nutrition major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"K02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Food, Agriculture, and Nutrition major group area."
"K03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Food, Agriculture, and Nutrition major group area."
"K05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Food, Agriculture, and Nutrition major group area."
"K11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Food, Agriculture & Nutrition major group area."
"K12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Food, Agriculture, and Nutrition major group area."
"K19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Food, Agriculture and Nutrition major group area."
"K20","Agricultural Programs","Organizations that focus on the development and improvement of food resources or food procurement through information and technical assistance for agricultural establishments and individuals in rural or urban settings. Use this code for organizations that provide a wide range of agricultural services or those that offer services to support the agricultural sector not specified below."
"K25","Farmland Preservation","Organizations such as land trusts that work to ensure that farmland is preserved for farming purposes rather than freed for development or environmental quality purposes."
"K26","Animal Husbandry","Organizations that provide information, technical assistance and support for individuals or commercial establishments that are engaged in the keeping, grazing, feeding and/or sale of livestock. \[Note: These organizations are typically found in section 501(c)(5).\]"
"K28","Farm Bureaus & Granges","Organizations whose members are farmers or ranchers who have affiliated for the purpose of representing the interests of agricultural producers and rural communities. \[Note: These organizations are typically found in section 501(c)(5).\]"
"K2A","Other Vegetable (except Potato) and Melon Farming","NULL"
"K2B","Soil Preparation, Planting, and Cultivating","NULL"
"K2C","Wineries","NULL"
"K30","Food Programs","Organizations that provide access to free or low-cost food products to children, seniors, or indigents by distributing groceries, providing meals, providing facilities for storing food or making available land on which people can grow their own produce. Use this code for organizations that provide a wide range of food services or those that offer food-related services not specified below."
"K31","Food Banks & Pantries","Organizations that gather, store and distribute food to indigents at no charge or at low cost."
"K34","Congregate Meals","Organizations (also known as nutrition sites or senior nutrition programs) that provide hot meals on a regular basis, usually for elderly individuals but also for disabled adults or other target populations."
"K35","Soup Kitchens","Organizations that provide meals in a central location for indigent people."
"K36","Meals on Wheels","Organizations that prepare and deliver regular hot meals to elderly individuals, people with disabilities or people with AIDS or other targeted conditions who are unable to shop and/or prepare food for themselves or to travel to a site where a meal is being served. Also known as home delivered meals."
"K40","Nutrition","Organizations that provide information concerning the basic principles of healthful eating, food handling, food preparation and shopping skills. Included is information about the basic food groups, vitamin and mineral requirements, and the relationship of nutrition to the preservation of good health and the prevention of illness."
"K50","Home Economics","Organizations that provide instruction that deals with the basic activities of homemaking including caring for and managing children, shopping for and preparing nutritious meals, maintaining a clean and safe living environment, and other in-home responsibilities."
"K6A","Meat markets","NULL"
"K6B","Confectionery and Nut Stores","NULL"
"K6C","Caterers","NULL"
"K6D","Mobile food services","NULL"
"K6E","Drinking Places (Alcoholic Beverages)","NULL"
"K6F","Snack and Nonalcoholic Beverage Bars","NULL"
"K90","Limited-Service Restaurants","(Community Ntee) This U.S. industry comprises establishments primarily engaged in providing food services (except snack and nonalcoholic beverage bars) where patrons generally order or select items and pay before eating. Food and drink may be consumed on premises, taken out, or delivered to the customer's location. Some establishments in this industry may provide these food services in combination with selling alcoholic beverages."
"K91","Supermarkets and Other Grocery (except Convenience) Stores","(Community Ntee) This industry comprises establishments generally known as supermarkets and grocery stores primarily engaged in retailing a general line of food, such as canned and frozen foods; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry. Included in this industry are delicatessen-type establishments primarily engaged in retailing a general line of food."
"K92","Convenience Stores","(Community Ntee) This industry comprises establishments known as convenience stores or food marts (except those with fuel pumps) primarily engaged in retailing a limited line of goods that generally includes milk, bread, soda, and snacks."
"K93","Fruit and Vegetable Markets","(Community Ntee) This industry comprises establishments primarily engaged in retailing fresh fruits and vegetables."
"K94","All Other Specialty Food Stores","(Community Ntee) This U.S. industry comprises establishments primarily engaged in retailing miscellaneous specialty foods (except meat, fish, seafood, fruit and vegetables, confections, nuts, popcorn, and baked goods) not for immediate consumption and not made on the premises."
"K95","Food (Health) Supplement Stores","(Community Ntee) This U.S. industry comprises establishments primarily engaged in retailing food supplement products, such as vitamins, nutrition supplements, and body enhancing supplements."
"K96","Warehouse Clubs and Supercenters","(Community Ntee) This industry comprises establishments known as warehouse clubs, superstores or supercenters primarily engaged in retailing a general line of groceries in combination with general lines of new merchandise, such as apparel, furniture, and appliances."
"K97","Food Service Contractors","(Community Ntee) This industry comprises establishments primarily engaged in providing food services at institutional, governmental, commercial, or industrial locations of others based on contractual arrangements with these type of organizations for a specified period of time. The establishments of this industry provide food services for the convenience of the contracting organization or the contracting organization's customers. The contractual arrangement of these establishments with contracting organizations may vary from type of facility operated (e.g., cafeteria, restaurant, fast-food eating place), revenue sharing, cost structure, to providing personnel. Management staff is always provided by the food service contractors."
"K98","Full-Service Restaurants","(Community Ntee) This U.S. industry comprises establishments primarily engaged in providing food services to patrons who order and are served while seated (i.e., waiter/waitress service) and pay after eating. These establishments may provide this type of food service to patrons in combination with selling alcoholic beverages, providing carryout services, or presenting live nontheatrical entertainment."
"K99","Food, Agriculture & Nutrition N.E.C.","Use this code for organizations that clearly provide food, agriculture or nutrition services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"L","Housing & Shelter",NA
"L01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Housing, Shelter major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"L02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Housing, Shelter major group area."
"L03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Housing, Shelter major group area."
"L05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Housing, Shelter major group area."
"L11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Housing & Shelter major group area."
"L12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Housing, Shelter major group area."
"L19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Housing, Shelter major group area."
"L20","Housing Development, Construction & Management","Organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below."
"L21","Low-Income & Subsidized Rental Housing","Organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act."
"L22","Senior Citizens Housing & Retirement Communities","Residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living."
"L24","Independent Housing for People with Disabilities","Organizations that develop, manage and/or provide rental housing with the availability of supportive services for individuals with disabilities."
"L25","Housing Rehabilitation","Organizations that clear slums and renew or rehabilitate old housing and other structures including abandoned buildings in blighted and depressed residential neighborhoods in order to provide a safe, sanitary and pleasant place for people to live."
"L30","Housing Search Assistance","Organizations that assist people to find available purchasable or rental housing which meets their individual needs."
"L40","Temporary Housing","Organizations that provide a temporary place to stay for newcomers, travelers, people who are in crisis, or homeless individuals in the community."
"L41","Homeless Shelters","Organizations that provide a temporary place to stay for people who have no permanent housing."
"L4A","Hotels (except Casino Hotels) and Motels","NULL"
"L4B","Bed-and-breakfast inns","NULL"
"L50","Homeowners & Tenants Associations","Organizations that serve the interests of the community as a whole and provide services which meet the needs of people who own or rent apartments, condominiums, townhomes, mobile home parks or other housing complexes who are their members. Also included are complexes that are owned collectively by the people who live there."
"L80","Housing Support","Organizations that provide supportive services which help people obtain and remain in suitable housing. Use this code for organizations that provide multiple supportive services or for supportive services specified below."
"L81","Home Improvement & Repairs","Organizations that provide assistance for homeowners who need to upgrade their homes to make them attractive, safe, accessible and energy efficient."
"L82","Housing Expense Reduction Support","Organizations that provide home purchase or construction loans; finance new living accommodations; or pay current housing and/or utility bills for people who cannot afford to make the payments themselves and who qualify for this service on the basis of need or income."
"L99","Housing & Shelter N.E.C.","Use this code for organizations that clearly provide housing or shelter services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"M","Public Safety, Disaster Preparedness & Relief",NA
"M01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Public Safety, Disaster Preparedness, and Relief major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"M02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Public Safety, Disaster Preparedness, and Relief major group area."
"M03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Public Safety, Disaster Preparedness, and Relief major group area."
"M05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Public Safety, Disaster Preparedness, and Relief major group area."
"M11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Public Safety, Disaster Preparedness & Relief major group area."
"M12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Public Safety, Disaster Preparedness, and Relief major group area."
"M19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Public Safety, Disaster Preparedness, and Relief major group area."
"M20","Disaster Preparedness & Relief Services","Organizations that work to prevent, predict or control the effects of disasters (e.g. floods, earthquakes, fires, tornadoes), to educate or otherwise prepare individuals to cope with the effects of such disasters or to provide broad-based relief services to victims of such disasters. Use this code for organizations that provide a wide range of disaster services or for those that offer disaster services not specified below."
"M23","Search & Rescue Squads","Volunteer and other organizations that provide emergency rescue operations and/or lifesaving activities for people who are stranded, lost, accident victims, or exposed to other life-threatening dangers. Included may be organizations that participate in air rescue, mountain rescue, sea rescue, ski rescue, traffic accident rescue and urban search and rescue operations."
"M24","Fire Prevention","Organizations that are responsible for the control and extinction of fires; and the inspection of buildings, hillside property and industrial plants to ensure compliance with fire codes."
"M40","Safety Education","Organizations that make the public aware of the measures that people can take to reduce the risk of accidents. Use this code for general safety programs or those that deal with a specific safety education issue not specified below."
"M41","First Aid","Organizations that provide instruction in the basic lifesaving techniques that are used in the administration of emergency assistance to individuals who have been injured prior to the arrival of trained medical personnel. Includes CPR instruction and instruction in techniques for relieving an individual who is choking."
"M42","Automotive Safety","Organizations that make the public aware of the measures people can take to ensure their own safety and that of others while driving or riding as passengers in a motor vehicle, riding a bicycle, roller skating, skateboarding or walking as pedestrians in traffic."
"M60","Public Safety Benevolent Associations","Organizations whose primary purpose is to support the needs of public safety agencies and their personnel."
"M99","Public Safety, Disaster Preparedness & Relief N.E.C.","Use this code for organizations that clearly provide public safety or disaster services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"N","Recreation & Sports",NA
"N01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Recreation, Sports, Leisure, Athletics major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"N02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Recreation, Sports, Leisure, Athletics major group area."
"N03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Recreation, Sports, Leisure, Athletics major group area."
"N05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Recreation, Sports, Leisure, Athletics major group area."
"N11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Recreation & Sports major group area."
"N12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Recreation, Sports, Leisure, Athletics major group area."
"N19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Recreation, Sports, Leisure, Athletics major group area."
"N20","Camps","Organizations that operate facilities for cooperative group living experiences in the out-of-doors; and which provide opportunities to learn campcraft, nature lore and conservation, and participate in a wide range of indoor and outdoor recreational, athletic and group social activities including cookouts."
"N2A","RV (Recreational Vehicle) Parks and Campgrounds","NULL"
"N2B","Recreational and Vacation Camps (Except Campgrounds)","NULL"
"N30","Physical Fitness & Community Recreational Facilities","Organizations that provide acreage and facilities for a broad range of recreational and fitness activities, sports and games. Use this code for recreational facilities available to the general public and for recreational programs not specified below."
